differential_evolution,time,matrix,degree
[1.22096753 4.47643417],0.3596491813659668,"[[6.71368489e-01+5.73548976e-18j 1.06739814e-17+4.69715702e-01j]
 [1.06739814e-17-4.69715702e-01j 3.28631511e-01-7.18493097e-18j]]",(0.31696439854931946+0.5799249828283746j)
[0.90009758 6.15409666],0.4645240306854248,"[[ 8.10766765e-01-8.90313202e-19j -6.69993500e-19+3.91693781e-01j]
 [-6.69993500e-19-3.91693781e-01j  1.89233235e-01+7.75314346e-19j]]",(0.05042290721041739+0.05247063544843912j)
[0.96783482 1.17606212],0.410747766494751,"[[ 7.83542117e-01+1.28046095e-17j -1.47581772e-17+4.11829902e-01j]
 [-1.47581772e-17-4.11829902e-01j  2.16457883e-01+5.97987271e-18j]]",(0.3126073532826175-0.2534551502842108j)
[9.67542966e-07 2.05118200e+00],0.2714240550994873,"[[ 1.00000000e+00+1.89887633e-17j -9.92841267e-25+4.83771483e-07j]
 [-9.92841267e-25-4.83771483e-07j  2.34034848e-13+5.36241247e-30j]]",(0.38283074285749275+1.3427083281153827e-17j)
[1.9817192  1.62652373],0.3818345069885254,"[[3.00272226e-01-1.22252197e-17j 5.77595946e-18+4.58376282e-01j]
 [5.77595946e-18-4.58376282e-01j 6.99727774e-01+7.94107468e-19j]]",(0.34538902671126465-0.48390718532939964j)
[1.63898421 1.37655759],0.313230037689209,"[[4.65932474e-01+5.49112892e-19j 4.54455714e-17+4.98838054e-01j]
 [4.54455714e-17-4.98838054e-01j 5.34067526e-01-5.82482665e-18j]]",(0.14991807454321435-0.40255251634059935j)
[1.84377705 3.19545436],0.38889122009277344,"[[ 3.65198508e-01-7.96557941e-19j -1.42643239e-19+4.81485781e-01j]
 [-1.42643239e-19-4.81485781e-01j  6.34801492e-01-9.12072181e-19j]]",(0.025921109303664768+0.7941944388311095j)
[1.40064413 1.37629432],0.3249962329864502,"[[5.84666174e-01+1.72692629e-17j 3.32455613e-17+4.92779503e-01j]
 [3.32455613e-17-4.92779503e-01j 4.15333826e-01+3.30384402e-18j]]",(0.24750382227479906-0.3975360896734749j)
[3.14159265 3.05953491],0.34981632232666016,"[[ 3.74939946e-33+5.95849908e-51j -2.15946708e-34+6.12323400e-17j]
 [-2.15946708e-34-6.12323400e-17j  1.00000000e+00-2.93753153e-18j]]",(0.6553375811795531-2.077148462936201e-18j)
[1.53269806 6.08248664],0.3017697334289551,"[[ 5.19044528e-01+1.00132100e-18j -3.15154564e-18+4.99637174e-01j]
 [-3.15154564e-18-4.99637174e-01j  4.80955472e-01-5.19468280e-19j]]",(0.09960467859005616+0.40799631400376807j)
