SLSQP,fun,time
[3.14159265 1.34647875],0.7954121434315319,0.018957853317260742
[3.14159265 1.34647876],1.3612859990165782,0.010974884033203125
[0.78395145 0.84348311],0.21771678515155501,0.0717477798461914
[3.14159265 1.34647875],0.7781594607746619,0.004986763000488281
[3.14159265 1.31980213],1.4741473408636614,0.004986763000488281
[3.14159265 1.34647877],1.8642309851698349,0.004987001419067383
[3.06121734 0.14045729],0.9935859633077438,0.05591130256652832
[3.14159265 1.34647877],1.2670546082693348,0.005618572235107422
[3.14159265 1.34647875],0.5808557348858538,0.004986763000488281
[3.14159265 1.34647872],1.476610320034416,0.006081342697143555
