Powell,fun,time
[1.48049834 4.71238898],0.9959464563268898,0.15345263481140137
[3.14159265 4.71239287],0.1867476234506665,0.24878573417663574
[2.01561957 4.71239289],0.9027070699625875,0.15300297737121582
[2.50566376 2.47559001],0.03318412492156597,0.3542020320892334
[1.86250859 4.71239289],0.9577639173298614,0.14255523681640625
[3.14159265 4.71239283],0.013029698270849379,0.2704508304595947
[1.93288226 4.71239284],0.935182438088926,0.045343637466430664
[4.59938044e-05 4.71239284e+00],0.005289893404374697,0.18918585777282715
[3.14159265 4.7123927 ],0.022885817898121233,0.35061073303222656
[1.58188803 4.72239559],0.8522103496194056,0.09716033935546875
