Nelder-Mead,time,matrix,degree
[0.         2.73144077],0.03201556205749512,"[[1.-6.44979817e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.3552990193870769-0.13675882974009637j)
[0.61363015 1.33927329],0.03549313545227051,"[[ 9.08781513e-01+5.96931392e-18j -4.58600851e-17+2.87919562e-01j]
 [-4.58600851e-17-2.87919562e-01j  9.12184867e-02-1.72301517e-18j]]",(0.48037162313350684-0.12940775603051372j)
[0.25650796 3.87718138],0.035916805267333984,"[[9.83640910e-01-2.35118087e-17j 5.15362304e-19+1.26852159e-01j]
 [5.15362304e-19-1.26852159e-01j 1.63590901e-02+2.43490204e-19j]]",(0.6780774437085556+0.02773150799579933j)
[0.         2.73144077],0.032166481018066406,"[[1.-6.44979817e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(1.4139055643411587-4.560696025995564e-18j)
[0.         2.73144077],0.024503231048583984,"[[1.-6.44979817e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.9544931938311187-4.560696025995564e-18j)
[0.37500812 0.89558377],0.0368804931640625,"[[9.65252324e-01+1.31333336e-17j 9.99182915e-18+1.83140042e-01j]
 [9.99182915e-18-1.83140042e-01j 3.47476761e-02+1.38719516e-19j]]",(0.6198549864340912-0.01583497381151936j)
[0.         2.73144077],0.0671226978302002,"[[1.-6.44979817e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(1.333945811875064-4.560696025995565e-18j)
[0.         2.73144077],0.06866908073425293,"[[1.-6.44979817e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.5435118283664879-4.560696025995564e-18j)
[0.         2.73144077],0.033942461013793945,"[[1.-6.44979817e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.13698523029017395-4.560696025995562e-18j)
[0.         2.73144077],0.020389795303344727,"[[1.-6.44979817e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(1.384201015269976-4.560696025995563e-18j)
