0,1,0,1,0,1,0
Nelder-Mead,,Powell,,COBYLA,,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.98819305 0.        ]
 [0.         0.01180695]]"
,Time,,Time,,Time,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.49221134+0.j         0.07445533+0.04608407j]
 [0.07445533-0.04608407j 0.50778866+0.j        ]]"
[3.14159265 4.84671022],0.022938251495361328,[4.88285657e-14 4.71239284e+00],0.07679891586303711,[3.14144433 4.03042377],0.010005474090576172,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.46109422+0.j         -0.17903195-0.06185481j]
 [-0.17903195+0.06185481j  0.53890578+0.j        ]]"
[3.14159265 4.84671022],0.021940231323242188,[1.58636956 1.47850089],0.02393651008605957,[3.31801416 4.15495985],0.008975028991699219,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.43115986 0.        ]
 [0.         0.56884014]]"
[2.75303363 4.37976854],0.020943880081176758,[1.64870077 4.58796506],0.026927471160888672,[1.64856783 3.51539232],0.013001203536987305,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.77044559+0.j       0.34341269+0.078941j]
 [0.34341269-0.078941j 0.22955441+0.j      ]]"
[3.14159265 4.84671022],0.020941734313964844,[1.70891941 4.71239284],0.023935556411743164,[3.14144433 4.03042377],0.008975505828857422,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.0275573 0.       ]
 [0.        0.9724427]]"
[3.14159265 4.8473379 ],0.02094435691833496,[0.78209232 1.34485827],0.0658254623413086,[5.28511925 4.5233362 ],0.009971857070922852,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.81410027+0.j         -0.02414326-0.34088035j]
 [-0.02414326+0.34088035j  0.18589973+0.j        ]]"
[3.14159265 4.5527483 ],0.02198004722595215,[3.14159265 4.7123928 ],0.08074498176574707,[3.14145927 4.27792215],0.011006355285644531,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.72467062 0.        ]
 [0.         0.27532938]]"
[0.8914581  3.20369873],0.03791093826293945,[0.891525   3.20368902],0.031937360763549805,[0.8101085  3.20824407],0.01793503761291504,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[0.38028441 0.        ]
 [0.         0.61971559]]"
[3.14159265 4.84671022],0.021940946578979492,[4.29295765e-14 4.71239276e+00],0.07583308219909668,[3.14144433 4.03042377],0.009938240051269531,"Quantum object: dims = [[2], [2]], shape = (2, 2), type = oper, isherm = True
Qobj data =
[[ 0.40923426+0.j         -0.22644645+0.15169346j]
 [-0.22644645-0.15169346j  0.59076574+0.j        ]]"
[3.14159265 4.5527483 ],0.02892327308654785,[1.8125795  4.71239284],0.026891231536865234,[3.14144433 4.03042377],0.01097249984741211,
[2.5650733  5.30260861],0.05089759826660156,[1.75333471 5.02604617],0.04088544845581055,[2.56477432 5.30244968],0.008945703506469727,
