dual_annealing,fun,time
[0.         3.82267955],0.9098041282288971,5.5912652015686035
[3.14159265 6.05130839],0.18674762271819814,6.405631065368652
[3.14159265 1.47444717],0.5697184705148791,6.2073962688446045
[2.50566051 2.47559291],0.033179333750871176,7.2668657302856445
[3.14159265 2.86058575],0.7124001044052047,6.528191804885864
[3.14159265 5.15732228],0.013029697538381398,5.953580856323242
[3.14159265 1.41033113],0.6457931725970413,6.56183123588562
[0.         0.30290397],0.00524390048003287,6.068176031112671
[3.14159265 2.6009469 ],0.022885817165653355,6.05540657043457
[1.58187734 4.72238136],0.8521856988417825,6.84724235534668
