differential_evolution,time,matrix,degree
[1.84389649 0.2310275 ],0.3409268856048584,"[[ 3.65140999e-01-3.14899658e-18j -7.17383798e-18+4.81469677e-01j]
 [-7.17383798e-18-4.81469677e-01j  6.34859001e-01+1.41646915e-18j]]",(0.1102458915645195-0.1876484040310776j)
[3.14158568 4.78806253],0.21573281288146973,"[[1.21619316e-11+3.58009437e-29j 1.56840801e-22+3.48739610e-06j]
 [1.56840801e-22-3.48739610e-06j 1.00000000e+00-5.65516914e-18j]]",(0.20779303640408758-3.998808442841239e-18j)
[3.12973665 3.81894498],0.29401588439941406,"[[3.51407843e-05-6.54654104e-22j 1.46090099e-19+5.92786213e-03j]
 [1.46090099e-19-5.92786213e-03j 9.99964859e-01-2.64616521e-17j]]",(0.7070378972974728+5.54340233577996e-05j)
[1.5523128 3.2143593],0.3213803768157959,"[[5.09241239e-01+1.51914012e-18j 5.36751422e-19+4.99914592e-01j]
 [5.36751422e-19-4.99914592e-01j 4.90758761e-01+1.84696215e-19j]]",(0.03634502396138283+0.5879457051787459j)
[3.14159265 2.59376828],0.36378002166748047,"[[2.45985531e-18-3.12448097e-35j 3.19946490e-26+1.56839259e-09j]
 [3.19946490e-26-1.56839259e-09j 1.00000000e+00+1.31592947e-17j]]",(0.007907139095307825+9.305026545089118e-18j)
[1.5295579  4.75979197],0.272369384765625,"[[ 5.20613369e-01-1.60094614e-17j -3.83461829e-18+4.99574908e-01j]
 [-3.83461829e-18-4.99574908e-01j  4.79386631e-01+2.40581257e-18j]]",(0.13857546563363704+0.4759024293706587j)
[1.73210795e-06 5.15752694e-01],0.21340274810791016,"[[ 1.00000000e+00-9.02341120e-18j -1.44084994e-23+8.66053976e-07j]
 [-1.44084994e-23-8.66053976e-07j  7.50049490e-13-1.18884825e-29j]]",(0.07953718655692292-6.38051524903746e-18j)
[1.13629922e-06 5.26820763e+00],0.2827010154724121,"[[ 1.00000000e+00-9.22783363e-18j -3.09844155e-23+5.68149611e-07j]
 [-3.09844155e-23-5.68149611e-07j  3.22793981e-13+4.09267530e-30j]]",(0.05402918268720162-6.525063732921695e-18j)
[1.88909029e-06 2.52374708e+00],0.29892897605895996,"[[1.00000000e+00+2.47142501e-17j 3.42479839e-24+9.44545145e-07j]
 [3.42479839e-24-9.44545145e-07j 8.92165532e-13-1.03224424e-30j]]",(0.030366683550108766+1.7475613833693292e-17j)
[2.55092625 5.1966497 ],0.3670525550842285,"[[ 8.47151339e-02+6.96969186e-19j -2.57399791e-17+2.78457322e-01j]
 [-2.57399791e-17-2.78457322e-01j  9.15284866e-01+4.64394390e-18j]]",(0.24681539732031005+0.1485939538638755j)
