Nelder-Mead,fun,time
[1.57080913 1.57080913],2.560046727504178e-05,0.15199041366577148
[1.57080913 1.57080913],2.560046727504178e-05,0.14050507545471191
[1.57080913 1.57080913],2.560046727504178e-05,0.04937171936035156
[1.57080913 1.57080913],2.560046727504178e-05,0.12658262252807617
[1.57080913 1.57080913],2.560046727504178e-05,0.06234598159790039
[1.57080913 1.57080913],2.560046727504178e-05,0.04028463363647461
[1.57080913 1.57080913],2.560046727504178e-05,0.06518769264221191
[1.57080913 1.57080913],2.560046727504178e-05,0.038526058197021484
[1.57080913 1.57080913],2.560046727504178e-05,0.06740856170654297
[1.57080913 1.57080913],2.560046727504178e-05,0.04768252372741699
