differential_evolution,time,matrix,degree
[1.64032341 6.2481206 ],0.33904576301574707,"[[ 4.65264461e-01+4.86942044e-19j -2.01319061e-19+4.98791983e-01j]
 [-2.01319061e-19-4.98791983e-01j  5.34735539e-01-4.58124831e-19j]]",(0.01748640794476129+0.3198600117838064j)
[0.54904421 3.31620126],0.39300966262817383,"[[ 9.26511857e-01-5.50555019e-18j -2.99096866e-18+2.60936077e-01j]
 [-2.99096866e-18-2.60936077e-01j  7.34881435e-02-5.36518482e-21j]]",(0.04534889878973698+0.5177565358823041j)
[3.14159188 2.68251212],0.34806132316589355,"[[1.49914703e-13+4.31332613e-31j 2.59460426e-24+3.87188202e-07j]
 [2.59460426e-24-3.87188202e-07j 1.00000000e+00-8.21067632e-18j]]",(0.21808744894864837-5.8058249015424935e-18j)
[3.14159265 3.365197  ],0.23380398750305176,"[[ 3.74939946e-33-3.70597780e-50j -9.73509161e-34+6.12323400e-17j]
 [-9.73509161e-34-6.12323400e-17j  1.00000000e+00+3.34439021e-18j]]",(0.3314599367142537+2.364840998340927e-18j)
[1.41754563 3.0754866 ],0.2990856170654297,"[[ 5.76325764e-01+1.87708422e-19j -7.89410321e-19+4.94140039e-01j]
 [-7.89410321e-19-4.94140039e-01j  4.23674236e-01-2.73657866e-19j]]",(0.03264184415624979-0.7463483421662871j)
[1.21852667 6.05552298],0.3225431442260742,"[[6.72514486e-01-6.21238530e-18j 9.63641804e-18+4.69296018e-01j]
 [9.63641804e-18-4.69296018e-01j 3.27485514e-01+1.67193869e-18j]]",(0.10592048102045763+0.15027745846863175j)
[3.14159265 3.16583817],0.2688288688659668,"[[3.74939946e-33+5.14671184e-53j 8.92212144e-36+6.12323400e-17j]
 [8.92212144e-36-6.12323400e-17j 1.00000000e+00+3.68865176e-20j]]",(0.09751378272376776+2.6082706751798213e-20j)
[1.2834242  2.82384998],0.37691831588745117,"[[ 6.4171655e-01-2.54044238e-18j -2.2822813e-18+4.79496006e-01j]
 [-2.2822813e-18-4.79496006e-01j  3.5828345e-01+1.77601335e-18j]]",(0.14980600373805197-0.7607566493289164j)
[2.0554104  2.14591185],0.38124942779541016,"[[2.67066547e-01+6.23754828e-18j 1.44034438e-17+4.42427403e-01j]
 [1.44034438e-17-4.42427403e-01j 7.32933453e-01+1.42809857e-17j]]",(0.25788956927883483-0.683073275315856j)
[3.14159265 3.3876797 ],0.3027219772338867,"[[3.74939946e-33-1.81643358e-50j 6.11616226e-34+6.12323400e-17j]
 [6.11616226e-34-6.12323400e-17j 1.00000000e+00-4.29015987e-18j]]",(0.40785542410170156-3.033601137815649e-18j)
