dual_annealing,time,matrix,degree
[0.         5.37222141],0.1812446117401123,"[[1.+1.51305106e-17j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.3247019962114601+1.0698886681124617e-17j)
[2.12772714 3.41307712],0.18009424209594727,"[[2.35708341e-01-1.54082222e-18j 4.85631914e-19+4.24440713e-01j]
 [4.85631914e-19-4.24440713e-01j 7.64291659e-01+1.38537447e-18j]]",(0.09438605267991486+0.7595823410670696j)
[3.14159265 5.09987624],0.12497067451477051,"[[ 3.74939946e-33+1.41349575e-49j -2.20507364e-33+6.12323400e-17j]
 [-2.20507364e-33-6.12323400e-17j  1.00000000e+00+1.62059339e-17j]]",(0.22832882990735+1.145932576665037e-17j)
[3.14159265 3.69902979],0.2098073959350586,"[[ 3.74939946e-33-7.77075726e-50j -8.47029141e-34+6.12323400e-17j]
 [-8.47029141e-34-6.12323400e-17j  1.00000000e+00+2.66413701e-17j]]",(0.07042734387864304+1.8838293455965885e-17j)
[3.11895248 1.56531032],0.015627145767211914,"[[ 1.28138912e-04+4.13159596e-21j -1.71152999e-19+1.13191206e-02j]
 [-1.71152999e-19-1.13191206e-02j  9.99871861e-01+2.39426926e-17j]]",(0.7061376831831034+1.692654987567866e-17j)
[5.59668792e-05 5.37577727e+00],0.22414898872375488,"[[ 9.99999999e-01+1.99178485e-17j -4.10216738e-22+2.79834396e-05j]
 [-4.10216738e-22-2.79834396e-05j  7.83072892e-10+1.44812502e-26j]]",(0.49026976299313696+1.4084045755610166e-17j)
[9.86683708e-06 4.01149683e+00],0.140594482421875,"[[ 1.00000000e+00+1.10291062e-17j -4.01695866e-22+4.93341854e-06j]
 [-4.01695866e-22-4.93341854e-06j  2.43386185e-11+7.45411829e-29j]]",(0.4217199487575616+7.798755782765746e-18j)
[3.14159241 0.99921682],0.09372830390930176,"[[1.50008887e-14+1.37664264e-31j 4.83056010e-25+1.22478115e-07j]
 [4.83056010e-25-1.22478115e-07j 1.00000000e+00-8.28714759e-18j]]",(0.5734908815783818-5.859898260869743e-18j)
[0.         3.58894812],0.22779011726379395,"[[1.+2.69416851e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.03754759201186777+1.9050648246499116e-18j)
[1.24607928 5.28639637],0.1051645278930664,"[[6.59520317e-01-4.72305037e-18j 1.44350614e-17+4.73870519e-01j]
 [1.44350614e-17-4.73870519e-01j 3.40479683e-01-3.41726456e-19j]]",(0.23715426829500116+0.3156719495240663j)
