Powell,time
[2.63840486 5.1611502 ],0.19524335861206055
[2.07081596 4.41691731],0.060390472412109375
[4.14695386e-05 4.71239284e+00],0.032996177673339844
[1.35499581 4.51619589],0.032507896423339844
[0.42639915 5.98308048],0.11429309844970703
[1.53022473 1.57079242],0.028733015060424805
[4.52228324e-05 4.71239284e+00],0.03451681137084961
[1.22153842 2.4628085 ],0.04836869239807129
[1.30020338 3.60612596],0.0357365608215332
[1.5361383  4.71239289],0.028754711151123047
