differential_evolution,time,matrix,degree
[3.14159265 2.70309112],0.24933242797851562,"[[3.74939946e-33-4.99449814e-50j 7.82597841e-34+6.12323400e-17j]
 [7.82597841e-34-6.12323400e-17j 1.00000000e+00-2.25869218e-18j]]",(0.16904762862286923-1.5971365541233048e-18j)
[0.24599047 0.74971043],0.5408821105957031,"[[9.84948303e-01+2.09987927e-17j 8.88881573e-18+1.21758547e-01j]
 [8.88881573e-18-1.21758547e-01j 1.50516974e-02-3.18749720e-19j]]",(0.08297016419694522-0.03264491046139207j)
[9.70557903e-07 4.64304296e+00],0.34906649589538574,"[[ 1.00000000e+00-2.48886864e-17j -2.25915865e-23+4.85278952e-07j]
 [-2.25915865e-23-4.85278952e-07j  2.35495661e-13-1.09033305e-30j]]",(0.209220825966546-1.759895893540838e-17j)
[1.14922067 3.20322322],0.3620433807373047,"[[ 7.04599330e-01+7.28479835e-19j -1.88993677e-18+4.56222659e-01j]
 [-1.88993677e-18-4.56222659e-01j  2.95400670e-01-7.73117419e-19j]]",(0.028099458204802627+0.8027597821113432j)
[1.06611613 1.98948792],0.42821240425109863,"[[ 7.41763765e-01-6.12532157e-18j -3.07149056e-18+4.37664577e-01j]
 [-3.07149056e-18-4.37664577e-01j  2.58236235e-01-1.26192267e-18j]]",(0.30528374517485746-0.6155782062373539j)
[2.08115077 1.18167456],0.2852506637573242,"[[2.55756721e-01+4.39553090e-18j 1.32569429e-17+4.36285710e-01j]
 [1.32569429e-17-4.36285710e-01j 7.44243279e-01-1.02874547e-18j]]",(0.3123018447940341-0.27076929598812344j)
[3.14158937 2.84019985],0.2794349193572998,"[[ 2.70288958e-12+1.79198652e-29j -5.42505332e-24+1.64404671e-06j]
 [-5.42505332e-24-1.64404671e-06j  1.00000000e+00+1.20492318e-17j]]",(0.06966434713428625+8.520093534091051e-18j)
[0.         3.27415088],0.2238602638244629,"[[1.-6.91864688e-18j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.5583480717815051-4.8922221222644086e-18j)
[3.14159081 4.60174894],0.29668593406677246,"[[8.46275422e-13-1.38424439e-29j 6.70454618e-23+9.19932292e-07j]
 [6.70454618e-23-9.19932292e-07j 1.00000000e+00+9.74035655e-18j]]",(0.15087373217435968+6.887472169136821e-18j)
[1.23310219 5.83643925],0.35829854011535645,"[[ 6.65656171e-01+1.21415517e-17j -3.86455573e-18+4.71760567e-01j]
 [-3.86455573e-18-4.71760567e-01j  3.34343829e-01+6.68054082e-18j]]",(0.20381624119784425+0.20864238949614672j)
[2.11428085 3.33674997],0.384965181350708,"[[2.41439213e-01-8.36579012e-20j 2.70800234e-19+4.27955978e-01j]
 [2.70800234e-19-4.27955978e-01j 7.58560787e-01-5.52573375e-18j]]",(0.08302340644147765+0.7714098178112694j)
[1.13849301 0.51844296],0.31046009063720703,"[[ 7.09481666e-01+8.40562709e-18j -2.04572510e-18+4.54001577e-01j]
 [-2.04572510e-18-4.54001577e-01j  2.90518334e-01+6.50128785e-18j]]",(0.22497063650796859-0.1873381269540459j)
[1.65088295 1.53815448],0.31054186820983887,"[[ 4.59999480e-01+3.89252834e-19j -1.19133531e-17+4.98397390e-01j]
 [-1.19133531e-17-4.98397390e-01j  5.40000520e-01-1.34588657e-17j]]",(0.19114356607193972-0.4821316691663527j)
[3.01370614e-06 2.01536500e+00],0.19574260711669922,"[[1.00000000e+00+2.60489067e-17j 1.58859661e-24+1.50685307e-06j]
 [1.58859661e-24-1.50685307e-06j 2.27060617e-12-6.37808366e-29j]]",(0.33192907249835574+1.8419358592214403e-17j)
[3.14159265 1.96497305],0.21880364418029785,"[[3.74939946e-33+3.61375761e-51j 2.13766081e-33+6.12323400e-17j]
 [2.13766081e-33-6.12323400e-17j 1.00000000e+00+5.65812232e-18j]]",(0.27470530344938954+4.000896657971857e-18j)
[0.         0.38332302],0.3113882541656494,"[[1.-2.64620136e-19j 0.+0.00000000e+00j]
 [0.+0.00000000e+00j 0.+0.00000000e+00j]]",(0.13009246286446854-1.8711469259246603e-19j)
[4.52971110e-06 2.20983659e+00],0.2891995906829834,"[[ 1.00000000e+00-1.88093605e-17j -8.44677162e-23+2.26485555e-06j]
 [-8.44677162e-23-2.26485555e-06j  5.12957066e-12+1.10311445e-28j]]",(0.038323201976904975-1.330022637669474e-17j)
[3.14159265 4.532072  ],0.2832458019256592,"[[3.74939946e-33+1.59175332e-49j 1.28311903e-33+6.12323400e-17j]
 [1.28311903e-33-6.12323400e-17j 1.00000000e+00-1.55954574e-17j]]",(0.08648542052363162-1.1027653717857641e-17j)
[1.51797625 6.21620587],0.4176928997039795,"[[ 5.26397758e-01-6.25483112e-19j -3.13611108e-19+4.99302672e-01j]
 [-3.13611108e-19-4.99302672e-01j  4.73602242e-01-1.49103158e-18j]]",(0.03341801060901341+0.34474746977833914j)
[1.73645199 0.20872633],0.32833123207092285,"[[4.17550474e-01+1.34106576e-18j 3.65046511e-20+4.93155225e-01j]
 [3.65046511e-20-4.93155225e-01j 5.82449526e-01+8.01562809e-20j]]",(0.10219348799449818-0.2514732677379958j)
