x,fun,jac,nit,nfev,njev,status,message,success
[1.5926067  1.37214124],0.23901302536818955,[ 1.14372801 -1.13587924],2,9,2,0,Optimization terminated successfully,True
[1.5926067  1.37214124],0.23901302536818955,[ 1.14372801 -1.13587924],2,9,2,0,Optimization terminated successfully,True
[1.54286809 1.3863486 ],0.22860240811990484,[ 1.01683794 -1.17740381],3,15,3,0,Optimization terminated successfully,True
[1.54286809 1.3863486 ],0.22860240811990484,[ 1.01683794 -1.17740381],3,15,3,0,Optimization terminated successfully,True
[1.57305976 1.57224046],0.003711156294423433,[ 1.00249148 -1.00229053],7,32,7,0,Optimization terminated successfully,True
[1.57305976 1.57224046],0.003711156294423433,[ 1.00249148 -1.00229053],7,32,7,0,Optimization terminated successfully,True
[1.57085446 1.57055781],0.0002966737694185034,[-1.0002483  -1.00026498],10,45,10,0,Optimization terminated successfully,True
[1.57079122 1.57079628],5.147031618274242e-06,[-1.00000503 -1.00000156],12,58,12,0,Optimization terminated successfully,True
[1.57079122 1.57079628],5.147031618274242e-06,[-1.00000503 -1.00000156],12,58,12,0,Optimization terminated successfully,True
[1.57079122 1.57079628],5.147031618274242e-06,[-1.00000503 -1.00000156],12,58,12,0,Optimization terminated successfully,True
