x,fun,jac,nit,nfev,njev,status,message,success
[1.61220055 0.11344453],1.1376006527727365,[0.27482721 0.23182636],1,3,1,0,Optimization terminated successfully,True
[1.61220055 0.11344453],1.1376006527727365,[0.63322363 0.57267645],1,3,1,0,Optimization terminated successfully,True
[1.56306864 0.10710527],1.09879587431449,[0.87924251 0.80830322],1,7,1,0,Optimization terminated successfully,True
[1.52563707 0.        ],1.072324065187205,[0.36240015 0.86987258],2,10,2,0,Optimization terminated successfully,True
[1.56893862 0.02438934],1.0158762695772805,[0.58102423 0.97130125],5,32,5,0,Optimization terminated successfully,True
[1.57049059 0.01884845],1.0094803940559884,[0.9179756 0.6860031],6,36,6,0,Optimization terminated successfully,True
[1.57098425 0.01903841],1.0096216452890612,[0.99957614 0.58257063],6,36,6,0,Optimization terminated successfully,True
[1.57033367 0.01912795],1.0093524926835,[-0.95910288  0.98041634],7,31,7,0,Optimization terminated successfully,True
[1.57056501 0.01919119],1.0091679775657618,[0.67011129 0.98061026],8,48,8,0,Optimization terminated successfully,True
[1.57059524 0.0191643 ],1.0091617724342348,[-0.3109424   0.98062192],8,39,8,0,Optimization terminated successfully,True
[1.57057378 0.01913505],1.0091126974788829,[1.00021729 0.4141368 ],10,58,10,0,Optimization terminated successfully,True
[1.57057361 0.01913599],1.0091123732222886,[ 1.00021799 -1.01895102],10,51,10,0,Optimization terminated successfully,True
[1.57057001 0.01913558],1.0091084602171452,[0.48362189 0.98068238],16,74,16,0,Optimization terminated successfully,True
[1.57057006 0.01913559],1.0091084310051333,[1.00022186 0.78201762],15,79,15,0,Optimization terminated successfully,True
[1.57057006 0.0191356 ],1.009108429974643,[ 1.00022188 -0.04994544],15,71,15,0,Optimization terminated successfully,True
[1.57057006 0.01913559],1.0091084324805848,[ 1.00022173 -1.01895142],15,74,15,0,Optimization terminated successfully,True
