x,fun,jac,nit,nfev,njev,status,message,success
[1.03093397 1.87300877],0.950416327157287,[0.57145354 0.86336815],1,4,1,0,Optimization terminated successfully,True
[0.81151523 1.53373196],0.9904450346912622,[-1.33437187  0.87770526],2,10,2,0,Optimization terminated successfully,True
[1.56786864 1.537508  ],0.036768006112238634,[1.08467199 1.09368964],4,16,4,0,Optimization terminated successfully,True
[1.5696861  1.54199258],0.030325387616708048,[ 1.0428617  -0.92950128],6,25,6,0,Optimization terminated successfully,True
[1.56965411 1.56397744],0.00798493957303964,[ 1.01012656 -0.53732533],9,35,9,0,Optimization terminated successfully,True
[1.57026919 1.57038908],0.0009346054358306622,[0.39430115 1.00172287],12,46,12,0,Optimization terminated successfully,True
[1.57125894 1.57078025],0.00047879804795288467,[1.00070521 1.00027053],14,55,14,0,Optimization terminated successfully,True
[1.57075602 1.57073102],0.00010560985044645032,[ 0.33971588 -0.06996297],16,61,16,0,Optimization terminated successfully,True
[1.57079077 1.57077858],2.330579835473648e-05,[1.00003608 1.00003598],17,65,17,0,Optimization terminated successfully,True
[1.57078506 1.57078939],1.8198742884787e-05,[-0.13706219 -1.00001249],18,69,18,0,Optimization terminated successfully,True
[1.57079517 1.57079003],7.454116286286786e-06,[ 1.00000349 -1.00000538],20,77,20,0,Optimization terminated successfully,True
[1.57079629 1.57079576],5.979297371116924e-07,[ 1.00000032 -1.00000033],24,93,24,0,Optimization terminated successfully,True
[1.5707963  1.57079578],5.765740686280907e-07,[ 1.00000015 -1.00000049],24,93,24,0,Optimization terminated successfully,True
[1.57079636 1.57079633],2.9856459527019304e-08,[1.00000005 0.92065654],27,116,27,0,Optimization terminated successfully,True
[1.57079636 1.57079632],3.3028860619092383e-08,[1.00000003 0.50618006],27,116,27,0,Optimization terminated successfully,True
[1.57079633 1.57079633],2.1987526245325467e-09,[0.99999981 0.99999988],31,121,31,0,Optimization terminated successfully,True
[1.57079634 1.57079633],1.6623304811490568e-08,[ 1.00000053 -0.37194347],27,110,27,0,Optimization terminated successfully,True
[1.57079633 1.57079633],1.1295664403896793e-10,[1.00000048 1.00000095],33,150,33,0,Optimization terminated successfully,True
[1.57079633 1.57079633],2.5655200186541655e-11,[ 0.99999916 -0.23744285],29,140,29,0,Optimization terminated successfully,True
[1.57079633 1.57079633],1.1955685070142856e-09,[ 0.99999665 -0.97274778],31,138,31,0,Optimization terminated successfully,True
