x,fun,jac,nit,nfev,njev,status,message,success
[2.22528533 4.52424297],2.5365006243769614,[0.09754052 0.19383988],1,3,1,0,Optimization terminated successfully,True
[2.22528533 4.52424297],2.5365006243769614,[-0.29805412  0.14153439],1,3,1,0,Optimization terminated successfully,True
[2.23085661 4.78594392],2.4590364807410463,[-0.01463039 -0.68723703],1,5,1,0,Optimization terminated successfully,True
[2.1077969  4.64750479],2.4247123492318106,[0.15988869 0.7458065 ],2,8,2,0,Optimization terminated successfully,True
[2.37587727e-14 4.55738626e+00],2.000000000000027,[1.13847604 0.        ],5,16,5,0,Optimization terminated successfully,True
[1.57080541 4.62951407],2.0793570053310018,[ 0.99704802 -0.91495548],5,27,5,0,Optimization terminated successfully,True
[1.58503192 4.71225155],2.0142712023084686,[0.98524501 0.99931278],7,33,7,0,Optimization terminated successfully,True
[1.57078596 4.71223304],2.0001662917798195,[ 0.9999351  -0.99989299],17,70,17,0,Optimization terminated successfully,True
[1.57079316 4.71233849],2.0000536619223364,[ 0.79238802 -0.99996476],17,78,17,0,Optimization terminated successfully,True
[1.57080573 4.71237487],2.0000235118110705,[-0.63477919 -0.99997978],17,70,17,0,Optimization terminated successfully,True
[1.57079623 4.71238804],2.000001037675954,[0.99999817 0.05696832],20,84,20,0,Optimization terminated successfully,True
[1.57079625 4.71238902],2.000000113837243,[ 0.31863114 -0.69572345],21,85,21,0,Optimization terminated successfully,True
[1.57079643 4.71238894],2.0000001526805633,[-0.71861389 -0.87963244],21,86,21,0,Optimization terminated successfully,True
[1.57079636 4.71238903],2.0000000850472306,[ 0.99999994 -0.99999996],22,92,22,0,Optimization terminated successfully,True
[1.57079632 4.71238898],2.000000015562362,[1. 1.],25,101,25,0,Optimization terminated successfully,True
[1.57079632 4.71238899],2.0000000117629364,[0.99999976 1.00000024],25,102,25,0,Optimization terminated successfully,True
[1.57079633 4.71238898],2.000000000229673,[1.         0.35927582],29,120,29,0,Optimization terminated successfully,True
[1.57079633 4.71238898],2.000000000589477,[-0.99999237  1.00000381],31,125,31,0,Optimization terminated successfully,True
[1.57079633 4.71238898],2.0000000000557456,[0.37243652 1.        ],31,129,31,0,Optimization terminated successfully,True
[1.57079633 4.71238898],2.0000000000040683,[0.59997559 0.28167725],25,126,25,0,Optimization terminated successfully,True
[1.57079633 4.71238898],2.0000000000043032,[-0.64575195  0.99975586],26,119,26,0,Optimization terminated successfully,True
[1.57079633 4.71238898],2.0000000000067693,[ 0.91601562 -1.00097656],32,186,32,0,Optimization terminated successfully,True
