success,status,x,fun,nit,nfev,njev,nhev,message
True,0,[ 0.50530189 11.17810332  0.35998194],0.031218690428958206,150,985,21,0,['Maximum number of iteration reached']
True,0,[ 0.50501062 15.72511762  0.37571784],0.02962286072351362,150,1065,41,0,['Maximum number of iteration reached']
