x,fun,nfev,nit,message,success,jac
[ 0.50465596 11.05165786  0.1247613 ],0.030874795707464316,3190,69,Optimization terminated successfully.,True,[ 3.88231112e-06  0.00000000e+00 -1.09932896e-05]
[ 0.50432903 12.94551381  0.33326562],0.030338974148342465,2957,64,Optimization terminated successfully.,True,[-0.00028313  0.         -0.00014834]
