0,1,2,3,4,5,6
1.74882088597597,1.3300463882417999,3.045,3.058274243657505,13.0,2.408496391850388,0.03949324956578951
4.525326120345065,1.346817740639556,4.09,4.084691932746566,9.0,0.21042614861039516,0.027266556523962742
2.456801166107562,0.9425493183893591,2.785,2.7890526988026316,9.0,1.7044092251337777,0.05255777834801115
1.8458539709512387,1.5750661418578875,2.14,2.1347117156458952,9.0,0.5151599378621453,0.09846610269006255
0.40572298953540753,0.899128702834733,3.75,3.736749718367189,9.0,0.8962671851728448,0.007968134225989486
3.8606715252198085,1.4337471024269148,1.685,1.6967628710483182,9.0,0.38584227628950085,0.0336028927155658
4.182768028856045,1.7323216403613797,0.325,0.3192884575182669,9.0,0.14418540726680837,0.05587914205497694
1.27500626332569,1.620016574379786,3.245,3.229911645034297,9.0,1.3493525274505875,0.05469439034598815
1.1681376975608033,1.3508556066092736,1.415,1.4053472332439645,17.0,0.07594387761891748,0.07277864911320768
3.45440314955236,1.7412328347968382,3.165,3.1546941596596594,9.0,1.9540709420473226,0.01127522965051431
