success,status,x,fun,nit,nfev,njev,nhev,message
True,0,[ 0.53410422 13.53568838  0.22596949],0.031195282540460337,150,993,23,0,['Maximum number of iteration reached']
True,0,[0.5124144  9.67623398 0.31045614],0.031005749399865317,150,1005,26,0,['Maximum number of iteration reached']
