x,fun,nfev,nit,message,success,jac
[0.52992863 9.63808138 0.23003174],0.029002616231311174,2466,53,Optimization terminated successfully.,True,[1.77635683e-07 0.00000000e+00 6.27276009e-07]
[0.52990931 9.24491796 0.17242668],0.029005927593550657,2956,63,Optimization terminated successfully.,True,[-5.38458164e-07  0.00000000e+00 -1.49606022e-05]
