Al,Ap,N,x,z,fun
3.6250136769400045,1.208951344952407,9.0,1.7209780760372717,0.4248365251909741,0.023024166853267556
1.154205141543439,1.3521689231063696,9.0,1.4355620882942002,1.1221543681669668,0.048702874338873624
2.9528906621995747,0.9416179182129134,13.0,4.125536601751804,1.7640244812997479,0.021064719652408376
3.649695748280126,0.7516941701343168,13.0,1.7247456230271454,0.742978198958429,0.024061152414129205
0.4086732621204644,0.5171527269939059,15.0,0.5522972929231762,0.18497696254032436,0.024861908409170772
4.533222357208682,1.0249666088994944,13.0,2.830104981244645,1.2113729590763394,0.024585228240584588
2.9124579440977607,0.9897200687851206,13.0,4.1241655027549715,1.7425117462381272,0.02145680790925638
4.6261846529107595,1.4020149304250253,9.0,4.043247796058303,1.7309783254756639,0.028481990630171816
3.749401314632184,1.3027953433243284,9.0,1.6955444314828632,0.4210066110991188,0.019043556827589486
4.60689110559743,1.585008179169994,9.0,1.5513216074582061,0.9710009852326005,0.018714673441353635
0.8034304002741952,0.3887345185127068,15.0,0.505,0.1923994678646409,0.02146502510568614
0.4849067787839141,1.1959796024186038,9.0,3.6730744720698496,0.8799038940202754,0.03129845199356727
4.912115669807761,1.5926176296396084,9.0,3.9274902310140756,1.6837228480903184,0.033796412074873015
0.7933823772511127,0.7220152610618649,9.0,0.4926413529634339,0.22587259463269663,0.0329271845680769
0.7107105168210777,0.5189808562435622,15.0,0.5243207655926103,0.1780508127466211,0.024792550166675337
4.838195433634427,1.2129181115461292,9.0,3.967503659695281,0.9441656533953365,0.02932706201679724
3.551485275715472,1.2594423391304617,9.0,1.7551320758690812,0.40129406956497327,0.03773489375614021
4.566867942046552,0.6841735686875088,17.0,4.084488622898753,3.266721557246885,0.033493481003142644
0.47319259316606155,0.7847814606046726,9.0,2.643523605337773,1.6459666558861297,0.052274195695317105
3.593794522977686,1.301532275915948,9.0,1.7240634169245788,0.42896152857879327,0.02107191574076012
4.813902585734235,1.3018032516024516,9.0,2.7574510343792875,2.19799598662182,0.05239623770203358
0.6607234165706575,1.0032950311231161,9.0,2.5587672474943455,1.5883662785426436,0.06610489558163171
1.0701281627927406,1.3146338160717659,9.0,1.4555998228567386,1.1350257494603673,0.04410348186198003
3.2710644186746363,1.8749397922463507,13.0,3.2159033519676883,0.17323726239995446,0.047768789328633154
2.9679740794120937,1.0703028151016922,13.0,4.1164158138937195,1.7864339820034598,0.02687301140288563
4.546428651195609,1.108039880105102,13.0,2.8240815184310586,1.2114874638257254,0.046919248569721766
0.5889785177386351,1.8311004202936887,15.0,0.5495836884070816,0.2755236423651863,0.09376495321752744
3.1109143545424103,0.6295621039068037,13.0,4.0442005568767625,1.719303809551439,0.039109048872537015
5.011738539489618,1.7745778245314412,9.0,3.8839427463468903,0.20555721007918754,0.00786096074829693
4.340422235442107,1.318475138937405,9.0,4.16324754413868,1.7804940502785271,0.033954904376607774
1.9323030495444662,0.5223388730141443,13.0,2.9891986102611843,2.3847107555858456,0.0529986981312796
4.314329267542177,0.892052097093363,13.0,2.895580125900997,1.2378557144252438,0.020345324718097663
0.8974452962193743,1.0496527438218188,17.0,1.4698341420325993,0.07903310935360797,0.043907283896576915
2.4616672786898857,1.235797623580758,9.0,1.9730630836918674,0.4846729814677791,0.053143119261781446
4.921355990729142,1.0129998017720623,13.0,3.9370553214062145,1.6787602880198396,0.01207211004754895
3.102441382638131,1.7863534219247634,9.0,2.5539630542737015,1.0934404085230842,0.06617234087344415
3.204075775952852,1.6224569289897934,15.0,0.37178448418326854,0.04793803495803838,0.059099462526464114
4.629367212652487,0.8869950515388606,13.0,4.053622724259347,1.7266209887499462,0.01907978763577424
3.67783200288755,0.5783773589264865,15.0,1.725,0.40744554911157876,0.05282477496069704
