x,fun,nfev,nit,message,success,jac
[ 0.53361275 10.47951497  0.2000952 ],0.030106324176194882,3006,65,Optimization terminated successfully.,True,[7.82707228e-07 0.00000000e+00 3.76434994e-07]
[ 0.53401958 13.48464331  0.1063748 ],0.0313708401696086,1877,40,Optimization terminated successfully.,True,[-9.40220119e-07  0.00000000e+00 -3.88578059e-08]
