x,fun,nfev,nit,message,success,jac
[ 0.53460164 12.53761329  0.24694063],0.030772021258790794,2466,53,Optimization terminated successfully.,True,[0.00018108 0.         0.00013207]
[0.52995677 9.38990626 0.28765768],0.028998059497121448,2556,55,Optimization terminated successfully.,True,[4.28129752e-07 0.00000000e+00 4.78089790e-06]
