x,fun,nfev,nit,message,success,jac
[0.5299977 9.9796489 0.3453336],0.028992389337953693,2339,50,Optimization terminated successfully.,True,[-1.15879528e-07  0.00000000e+00  8.43075610e-08]
[0.52992863 9.87752516 0.23003175],0.02900261623133227,2617,56,Optimization terminated successfully.,True,[3.27151499e-05 0.00000000e+00 2.98372438e-05]
