fun,direc,nit,nfev,status,success,message,x
0.12936553438351192,"[[1. 0.]
 [0. 1.]]",2,20,0,True,Optimization terminated successfully.,[1.6082777  1.48325885]
0.08217572008996846,"[[1. 0.]
 [0. 1.]]",2,26,0,True,Optimization terminated successfully.,[1.57079633 1.64992552]
0.0070308586145619795,"[[1. 0.]
 [0. 1.]]",2,29,0,True,Optimization terminated successfully.,[1.57079633 1.56378996]
0.0006019019422350278,"[[1. 0.]
 [0. 1.]]",2,38,0,True,Optimization terminated successfully.,[1.57079633 1.57139805]
8.71945788835484e-05,"[[1. 0.]
 [0. 1.]]",2,42,0,True,Optimization terminated successfully.,[1.57079633 1.57088352]
8.71945788835484e-05,"[[1. 0.]
 [0. 1.]]",2,46,0,True,Optimization terminated successfully.,[1.57079633 1.57088352]
7.557249651580254e-05,"[[1. 0.]
 [0. 1.]]",2,48,0,True,Optimization terminated successfully.,[1.57079633 1.57072076]
1.2343485723819096e-06,"[[1. 0.]
 [0. 1.]]",2,56,0,True,Optimization terminated successfully.,[1.57079633 1.57079509]
6.54649781227002e-06,"[[1. 0.]
 [0. 1.]]",2,60,0,True,Optimization terminated successfully.,[1.57079633 1.57078978]
7.042216863817126e-07,"[[1. 0.]
 [0. 1.]]",2,66,0,True,Optimization terminated successfully.,[1.57079633 1.57079703]
6.843855362981404e-08,"[[1. 0.]
 [0. 1.]]",2,72,0,True,Optimization terminated successfully.,[1.57079633 1.5707964 ]
1.855630803323388e-08,"[[1. 0.]
 [0. 1.]]",2,78,0,True,Optimization terminated successfully.,[1.57079633 1.57079631]
1.855630803323388e-08,"[[1. 0.]
 [0. 1.]]",2,82,0,True,Optimization terminated successfully.,[1.57079633 1.57079631]
8.095260586836936e-10,"[[1. 0.]
 [0. 1.]]",3,132,0,True,Optimization terminated successfully.,[1.57079633 1.57079633]
4.440892098500626e-16,"[[1.00000000e+00 0.00000000e+00]
 [0.00000000e+00 8.82900418e-10]]",4,269,0,True,Optimization terminated successfully.,[1.57079633 1.57079633]
4.440892098500626e-16,"[[ 1.67869473e-10  1.67869473e-10]
 [ 0.00000000e+00 -1.37938374e-13]]",9,772,0,True,Optimization terminated successfully.,[1.57079633 1.57079633]
7.563022603345593e-11,"[[1. 0.]
 [0. 1.]]",3,156,0,True,Optimization terminated successfully.,[1.57079633 1.57079633]
