Al,Ap,N,x,z,fun,xx,yy,zz,fev
2.323914325744703,0.47060839726889514,17.0,2.835,1.7364375,0.0433316063184134,0.01568262003279757,0.04242823429201055,0.9847354991917358,359
0.6945910854953746,0.6266565221926365,15.0,0.5267019243535115,0.17441449909943213,0.0296094977586364,0.0278980374493679,0.0003262354198729717,0.998453556113036,436
3.7735064840837658,1.155631328614892,9.0,1.6966764062199131,1.0577233157114638,0.02070629277614345,0.2861616188707101,0.1901560123081475,0.9990979433153248,692
3.0065413241064287,0.6845240939051649,13.0,4.0905409169005535,1.743829110777299,0.02272355538539174,0.01882387039761763,0.013692935879014306,0.9985292495121492,593
2.4724368851918204,0.6685166164272736,13.0,2.7810096812696874,2.224,0.027628595710925415,0.02138624047915029,0.04092560177992516,0.9985461925203439,392
0.7904409803925608,0.9255795246073651,9.0,1.5245681804581173,1.1948517902407685,0.03744790691077563,0.023219127688014117,0.11006737645200416,0.9909911669945379,728
3.2582993300297414,1.0232529266484371,9.0,1.7993633928553674,1.1189110147853332,0.030860285398372066,0.10408048913401485,0.0798648991659274,0.9971418119685247,668
2.7243139362137123,1.216615334206521,9.0,0.3771386528919701,0.16990834827078133,0.04513898906743911,0.045409805092670126,0.0011668872927849336,0.9965632936478106,506
2.3649027810281877,0.8581359001506568,13.0,2.8279137783482606,0.6582780642124727,0.004678059525992576,0.03003866856605418,0.04945832899514634,0.9983661955406267,759
0.809723460974127,1.057181814956643,11.0,1.518559780995959,0.1453491325456629,0.010649878962775193,0.0708125050493281,0.11014693906787032,0.9997780182614233,826
4.073830029341321,0.7538249495000027,13.0,2.973858907316391,1.8236354494384923,0.043548763051017264,0.029699805800515608,0.030286987605835466,0.9759245342778144,549
2.7567037288033194,1.035826096412285,13.0,4.201136416018317,1.804526869174955,0.03443557216777041,0.033285644358446186,0.005481108721282463,0.9936904506722349,480
1.3411950193697117,1.1764233525804368,9.0,3.225778199384549,1.4284096282506342,0.010160108343031816,0.05810648798964853,0.19263656039247207,0.9974128573792889,622
4.426720867503907,1.3241815733210844,13.0,2.853002701227262,0.15350352914988577,0.0158627213303967,0.0289769962478973,0.021203608716341898,0.9995107068912579,418
1.8994945349351486,1.0458503453509032,13.0,3.831603534717366,0.20945433044544237,0.02552311261590385,0.04142999001280388,0.0794667235113726,0.9989533276746583,680
3.2498135231425196,0.9924146353427094,9.0,1.8023698127483367,0.436155773997306,0.040590683150481796,0.04671550564740551,0.013672694447499342,0.9927747204050398,471
3.354467403875602,1.196871227580185,9.0,1.7736258462022325,0.39791427524357736,0.028261287857040844,0.27537914447549344,0.15724661440840698,0.997517467443602,537
3.288934396186908,0.6062602884872313,15.0,1.7999999999999998,0.3790937095690208,0.03422765704671912,0.024719617104882723,0.009951961661392714,0.9864574845410107,460
1.8799052026084393,0.9872093095926489,9.0,0.4201210802580637,0.1907841908934921,0.039963485100201236,0.039815137492081196,0.000866740013859859,0.9972280583224991,542
1.286057135616146,0.4777116165817184,13.0,0.4686234197952094,0.2061639748673681,0.02828209245704518,0.01980257279583246,0.0001689188623441723,0.9924797106953418,309
1.0687714504621282,1.6632825930767767,13.0,3.334395083481168,0.7709387143675448,0.02325050051736401,0.1318003012793938,0.2332918447333465,0.9842330585318745,888
