nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,barrier_parameter,barrier_tolerance,status,niter,success,message
1,3,1,0,0,0,2.602432201235678,[-0.0542245  -0.49802651],[-0.00373709 -0.41552278],"[array([2.2780824 , 4.40869214])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.05048741, 0.08250374])]",tr_interior_point,[2.2780824  4.40869214],0.4155227773681514,0.0,0.004994630813598633,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
1,3,1,0,0,0,2.602432201235678,[-0.0542245  -0.49802651],[-0.00373709 -0.41552278],"[array([2.2780824 , 4.40869214])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.05048741, 0.08250374])]",tr_interior_point,[2.2780824  4.40869214],0.4155227773681514,0.0,0.0039904117584228516,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
43,144,48,0,59,1,2.000228166400118,[ 0.99978335 -0.99998843],[ 0.55219275 -0.68949949],"[array([1.57101293, 4.71237739])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44759061,  0.31048894])]",tr_interior_point,[1.57101293 4.71237739],0.6894994876760474,0.0,0.27669239044189453,0.1,1.0,2.048000000000001e-09,2.048000000000001e-09,2,43,True,`xtol` termination condition is satisfied.
69,231,77,0,108,1,2.000002338032196,[-0.99999773  0.99999989],[-0.55231116  0.68950464],"[array([1.57079407, 4.71238906])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([ 0.44768657, -0.31049525])]",tr_interior_point,[1.57079407 4.71238906],0.6895046392397968,0.0,0.42705440521240234,0.010000000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,69,True,`xtol` termination condition is satisfied.
73,252,84,0,107,1,2.0000415180833064,[-0.99997261 -0.9999859 ],[-0.55229729 -0.68949835],"[array([1.57076894, 4.71237484])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44767532, 0.31048755])]",tr_interior_point,[1.57076894 4.71237484],0.689498350103597,0.0,0.4095301628112793,0.0010000000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,73,True,`xtol` termination condition is satisfied.
84,267,89,0,132,1,2.000000111765406,[-0.99999995 -0.99999995],[-0.55231239 -0.68950471],"[array([1.57079629, 4.7123889 ])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44768756, 0.31049523])]",tr_interior_point,[1.57079629 4.7123889 ],0.6895047144545572,0.0,0.46406078338623047,0.0010000000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,84,True,`xtol` termination condition is satisfied.
97,303,101,0,151,1,2.000001940915791,[-0.99999872  0.99999934],[-0.55231171  0.68950412],"[array([1.57079502, 4.71238961])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([ 0.44768701, -0.31049521])]",tr_interior_point,[1.57079502 4.71238961],0.6895041241217958,0.0,0.4917905330657959,0.00010000000000000003,1.0,2.048000000000001e-09,2.048000000000001e-09,2,97,True,`xtol` termination condition is satisfied.
105,339,113,0,172,1,2.000000163875978,[-0.99999991  0.99999992],[-0.55231237  0.68950466],"[array([1.57079621, 4.71238902])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([ 0.44768754, -0.31049525])]",tr_interior_point,[1.57079621 4.71238902],0.6895046649238425,0.0,0.5502133369445801,0.00010000000000000003,1.0,2.048000000000001e-09,2.048000000000001e-09,2,105,True,`xtol` termination condition is satisfied.
120,363,121,0,197,1,2.000000021077018,[0.99999996 0.99999994],[0.5523124  0.68950469],"[array([1.57079634, 4.71238899])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44768757, -0.31049525])]",tr_interior_point,[1.57079634 4.71238899],0.6895046896630889,0.0,0.5979509353637695,1.0000000000000004e-05,1.0,2.048000000000001e-09,2.048000000000001e-09,2,120,True,`xtol` termination condition is satisfied.
138,396,132,0,214,4,2.0000000382334187,[-0.02257427  0.25189816],[-0.01246805  0.17368498],"[array([1.57079631, 4.71238895])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([ 0.01010622, -0.07821319])]",tr_interior_point,[1.57079631 4.71238895],0.1736849775603922,0.0,0.7039802074432373,1.0000000000000004e-06,1.0,2.048000000000001e-09,2.048000000000001e-09,2,138,True,`xtol` termination condition is satisfied.
