nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,barrier_parameter,barrier_tolerance,status,niter,success,message
1,3,1,0,0,0,2.5786672702446083,[0.32582435 0.40733031],[0.12967364 0.34364847],"[array([0.69804742, 5.03311023])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.19615071, -0.06368184])]",tr_interior_point,[0.69804742 5.03311023],0.34364847474792665,0.0,0.005951642990112305,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
1,3,1,0,0,0,2.5786672702446083,[0.32582435 0.40733031],[0.12967364 0.34364847],"[array([0.69804742, 5.03311023])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.19615071, -0.06368184])]",tr_interior_point,[0.69804742 5.03311023],0.34364847474792665,0.0,0.003988504409790039,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
6,18,6,0,8,1,2.1725935432996137,[ 0.88295797 -0.16088974],[ 0.01041135 -0.08610433],"[array([0.17588804, 4.63478258])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.87254662,  0.07478541])]",tr_interior_point,[0.17588804 4.63478258],0.08610432532599217,0.0,0.04702138900756836,5.820771465044496,1.0,0.1,0.1,1,6,True,`gtol` termination condition is satisfied.
8,21,7,0,10,1,2.0458020578203806,[ 1.04919893 -0.03836153],[ 0.00107256 -0.02184077],"[array([0.04275638, 4.61450474])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.04812637,  0.01652076])]",tr_interior_point,[0.04275638 4.61450474],0.021840770979577425,0.0,0.058617353439331055,29.103857325222478,1.0,0.020000000000000004,0.020000000000000004,1,8,True,`gtol` termination condition is satisfied.
9,24,8,0,12,1,2.021516259529662,[ 1.07569808 -0.01771679],[ 2.86041184e-05 -7.18288238e-03],"[array([0.01981697, 4.61139269])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.07566947,  0.01053391])]",tr_interior_point,[0.01981697 4.61139269],0.007182882379627376,0.0,0.06913304328918457,29.103857325222478,1.0,0.020000000000000004,0.020000000000000004,1,9,True,`gtol` termination condition is satisfied.
11,27,9,0,14,1,2.0043468921642122,[ 1.09407768 -0.00353451],[ 1.36448857e-06 -1.43435288e-03],"[array([3.96590219e-03, 4.60878995e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.09407631,  0.00210015])]",tr_interior_point,[3.96590219e-03 4.60878995e+00],0.0014343528842386518,0.0,0.08465433120727539,145.51928662611238,1.0,0.004000000000000001,0.004000000000000001,1,11,True,`gtol` termination condition is satisfied.
13,30,10,0,16,1,2.0008140011816353,[ 1.09778762e+00 -6.60180682e-04],[ 1.03144473e-08 -2.53750476e-04],"[array([7.41242005e-04, 4.60825461e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.09778761e+00,  4.06430207e-04])]",tr_interior_point,[7.41242005e-04 4.60825461e+00],0.0002537504755614343,0.0,0.09759521484375,727.5964331305619,1.0,0.0008000000000000003,0.0008000000000000003,1,13,True,`gtol` termination condition is satisfied.
15,33,11,0,18,1,2.000160490159196,[ 1.09847084e+00 -1.30096183e-04],[ 7.11370962e-11 -4.93738514e-05],"[array([1.46093536e-04, 4.60815608e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.09847084e+00,  8.07223315e-05])]",tr_interior_point,[1.46093536e-04 4.60815608e+00],4.937385143672743e-05,0.0,0.10759830474853516,3637.9821656528093,1.0,0.00016000000000000007,0.00016000000000000007,1,15,True,`gtol` termination condition is satisfied.
17,36,12,0,20,1,2.0000320190466043,[ 1.09860501e+00 -2.59598466e-05],[ 5.51336754e-13 -9.83268771e-06],"[array([2.91447987e-05, 4.60813674e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.09860501e+00,  1.61271589e-05])]",tr_interior_point,[2.91447987e-05 4.60813674e+00],9.832687713336389e-06,0.0,0.12063264846801758,18189.910828264045,1.0,3.200000000000001e-05,3.200000000000001e-05,1,17,True,`gtol` termination condition is satisfied.
19,39,13,0,22,1,2.0000064007581586,[ 1.09863177e+00 -5.18679975e-06],[ 4.44089210e-15 -1.96286348e-06],"[array([5.82610242e-06, 4.60813288e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.09863177e+00,  3.22393627e-06])]",tr_interior_point,[5.82610242e-06 4.60813288e+00],1.9628634794594837e-06,0.0,0.13375234603881836,90949.55414132023,1.0,6.400000000000003e-06,6.400000000000003e-06,1,19,True,`gtol` termination condition is satisfied.
21,42,14,0,24,1,2.000001280030287,[ 1.09863713e+00 -1.03477319e-06],[ 0.00000000e+00 -3.90729985e-07],"[array([1.16510683e-06, 4.60813211e+00])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-1.09863713e+00,  6.44043205e-07])]",tr_interior_point,[1.16510683e-06 4.60813211e+00],3.9072998543433473e-07,0.0,0.15430903434753418,454747.77070660115,1.0,1.2800000000000007e-06,1.2800000000000007e-06,1,21,True,`gtol` termination condition is satisfied.
1,3,1,0,0,0,0.9368069608146102,[ 1.38916565 -0.77438275],[ 0.84503076 -0.66546674],"[array([2.29360919, 1.53765935])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.54413489,  0.108916  ])]",tr_interior_point,[2.29360919 1.53765935],0.8450307604093804,0.0,0.0029952526092529297,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
