nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,barrier_parameter,barrier_tolerance,status,niter,success,message
1,3,1,0,0,0,2.670222546519933,[0.45607596 0.04556415],[0.33554081 0.05087711],"[array([1.91998882, 3.89269604])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.12053515,  0.00531296])]",tr_interior_point,[1.91998882 3.89269604],0.3355408121874849,0.0,0.00500798225402832,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
1,3,1,0,0,0,2.670222546519933,[0.45607596 0.04556415],[0.33554081 0.05087711],"[array([1.91998882, 3.89269604])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.12053515,  0.00531296])]",tr_interior_point,[1.91998882 3.89269604],0.3355408121874849,0.0,0.0029921531677246094,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
51,162,54,0,65,1,0.001745335418628158,[1.00119323 1.00054903],[0.55297102 0.69001322],"[array([1.57199092, 1.57134621])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.4482222 , -0.31053581])]",tr_interior_point,[1.57199092 1.57134621],0.6900132180043691,0.0,0.29557299613952637,0.1,1.0,2.048000000000001e-09,2.048000000000001e-09,2,51,True,`xtol` termination condition is satisfied.
72,231,77,0,103,1,0.0002820324543195039,[1.00003081 1.00025117],[0.55232943 0.68973726],"[array([1.57082713, 1.57104753])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44770138, -0.31051391])]",tr_interior_point,[1.57082713 1.57104753],0.6897372626754923,0.0,0.40171384811401367,0.010000000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,72,True,`xtol` termination condition is satisfied.
83,258,86,0,94,2,0.0001528940612223334,[-1.00009187 -1.00006099],[-0.55236316 -0.68953237],"[array([1.57070444, 1.57073532])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44772871, 0.31052862])]",tr_interior_point,[1.57070444 1.57073532],0.6895323699118172,0.0,0.4011218547821045,0.005000000000000001,1.0,2.048000000000001e-09,2.048000000000001e-09,2,83,True,`xtol` termination condition is satisfied.
106,336,112,0,115,2,0.00019019641106053043,[-1.00015676 -1.00003337],[-0.55239899 -0.68951985],"[array([1.57063954, 1.57076293])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44775777, 0.31051352])]",tr_interior_point,[1.57063954 1.57076293],0.6895198523692725,0.0,0.50417160987854,0.0012500000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,106,True,`xtol` termination condition is satisfied.
134,444,148,0,183,2,0.00012052319832608999,[1.00011298 1.00000754],[0.55237482 0.68951171],"[array([1.57090931, 1.57080387])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44773817, -0.31049583])]",tr_interior_point,[1.57090931 1.57080387],0.6895117072914161,0.0,0.6045043468475342,0.00031250000000000006,1.0,2.048000000000001e-09,2.048000000000001e-09,2,134,True,`xtol` termination condition is satisfied.
158,498,166,0,170,2,1.0410911137597318e-05,[ 1.00000082 -1.0000096 ],[ 0.55231287 -0.68950908],"[array([1.57079714, 1.57078673])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44768795,  0.31050052])]",tr_interior_point,[1.57079714 1.57078673],0.6895090807513069,0.0,0.6525657176971436,7.797187536989948e-05,1.0,2.048000000000001e-09,2.048000000000001e-09,2,158,True,`xtol` termination condition is satisfied.
191,618,206,0,211,2,2.462194871710251e-06,[1.00000086 1.00000163],[0.55231289 0.68950623],"[array([1.57079717, 1.57079795])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44768797, -0.31049539])]",tr_interior_point,[1.57079717 1.57079795],0.6895062349886345,0.0,0.8084681034088135,2.077766020188667e-05,1.0,2.048000000000001e-09,2.048000000000001e-09,2,191,True,`xtol` termination condition is satisfied.
211,666,222,0,243,2,7.4097938618233e-07,[-1.00000055  1.00000017],[-0.55231272  0.68950489],"[array([1.57079576, 1.5707965 ])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([ 0.44768783, -0.31049528])]",tr_interior_point,[1.57079576 1.5707965 ],0.6895048853018739,0.0,0.9036927223205566,4.853519190653019e-06,1.0,2.048000000000001e-09,2.048000000000001e-09,2,211,True,`xtol` termination condition is satisfied.
