nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,barrier_parameter,barrier_tolerance,status,niter,success,message
1,3,1,0,0,0,2.34506875942843,[ 0.3296558  -0.52015793],[ 0.12355438 -0.3030107 ],"[array([0.52363615, 0.04110482])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.20610141,  0.21714724])]",tr_interior_point,[0.52363615 0.04110482],0.3030106957125467,0.0,0.0056040287017822266,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
1,3,1,0,0,0,2.34506875942843,[ 0.3296558  -0.52015793],[ 0.12355438 -0.3030107 ],"[array([0.52363615, 0.04110482])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.20610141,  0.21714724])]",tr_interior_point,[0.52363615 0.04110482],0.3030106957125467,0.0,0.0029921531677246094,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
43,132,44,0,54,1,0.0002564849792776174,[1.0002377  1.00001873],[0.55244368 0.68952207],"[array([1.57103404, 1.57081507])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44779401, -0.31049666])]",tr_interior_point,[1.57103404 1.57081507],0.6895220707870209,0.0,0.2568185329437256,0.1,1.0,2.048000000000001e-09,2.048000000000001e-09,2,43,True,`xtol` termination condition is satisfied.
60,192,64,0,72,1,3.7638513296615005e-05,[1.00001314 1.00002451],[0.55231967 0.68952741],"[array([1.57080947, 1.57082082])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44769346, -0.31049709])]",tr_interior_point,[1.57080947 1.57082082],0.6895274144126009,0.0,0.31313633918762207,0.010000000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,60,True,`xtol` termination condition is satisfied.
78,249,83,0,95,2,0.0010332636054808842,[-1.00043534 -1.00059699],[-0.5525528  -0.68977512],"[array([1.57036061, 1.57019906])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44788254, 0.31082187])]",tr_interior_point,[1.57036061 1.57019906],0.6897751174458742,0.0,0.3843212127685547,0.005000000000000001,1.0,2.048000000000001e-09,2.048000000000001e-09,2,78,True,`xtol` termination condition is satisfied.
