nit,nfev,njev,nhev,cg_niter,cg_stop_cond,fun,grad,lagrangian_grad,constr,jac,constr_nfev,constr_njev,constr_nhev,v,method,x,optimality,constr_violation,execution_time,tr_radius,constr_penalty,barrier_parameter,barrier_tolerance,status,niter,success,message
1,3,1,0,0,0,2.158083066975478,[ 0.98036022 -0.83518491],[ 0.72132991 -0.3708372 ],"[array([1.5878795 , 6.12965258])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.25903031,  0.46434771])]",tr_interior_point,[1.5878795  6.12965258],0.7213299135866832,0.0,0.005983829498291016,1.0,1.0,0.1,0.1,1,1,True,`gtol` termination condition is satisfied.
2,6,2,0,1,2,2.5083567020522253,[-0.46811571 -0.65915969],[-0.26292944 -0.0341781 ],"[array([1.18606309, 6.02468656])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.20518627, 0.62498159])]",tr_interior_point,[1.18606309 6.02468656],0.262929442030111,0.0,0.011478900909423828,2.0,1.0,0.1,0.1,1,2,True,`gtol` termination condition is satisfied.
38,144,48,0,29,4,2.034381171016134,[ 0.99999998 -0.96439396],[ 0.55231241 -0.00117995],"[array([1.57079634, 6.24818454])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44768757,  0.96321401])]",tr_interior_point,[1.57079634 6.24818454],0.5523124067164116,0.0,0.28276777267456055,0.1,1.0,2.048000000000001e-09,2.048000000000001e-09,2,38,True,`xtol` termination condition is satisfied.
1000,3027,1009,0,1977,1,2.107590473641152,[-0.99994596 -0.87940408],[-0.55228257 -0.01133687],"[array([1.57074752, 6.16886766])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44766339, 0.86806721])]",tr_interior_point,[1.57074752 6.16886766],0.5522825723891321,0.0,8.702128171920776,0.1,1.0,3.200000000000001e-05,3.200000000000001e-05,0,1000,False,The maximum number of function evaluations is exceeded.
1000,3042,1014,0,1957,1,2.105463496766278,[-0.99984542 -0.88219032],[-0.55222703 -0.01088694],"[array([1.57065645, 6.17138588])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44761838, 0.87130338])]",tr_interior_point,[1.57065645 6.17138588],0.552227032245113,0.0,8.56746792793274,0.1,1.0,5.120000000000003e-08,5.120000000000003e-08,0,1000,False,The maximum number of function evaluations is exceeded.
681,2124,708,0,799,4,2.0071959518073053,[-0.9999997  -0.99275226],[-5.5231225e-01 -5.1773228e-05],"[array([1.57079601, 6.27596353])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44768745, 0.99270048])]",tr_interior_point,[1.57079601 6.27596353],0.5523122495330859,0.0,5.23012900352478,0.0010000000000000002,1.0,2.048000000000001e-09,2.048000000000001e-09,2,681,True,`xtol` termination condition is satisfied.
1000,3042,1014,0,1729,4,2.1077688072675596,[-0.99997412 -0.8791474 ],[-0.55229813 -0.01129376],"[array([1.57077295, 6.16863592])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44767599, 0.86785364])]",tr_interior_point,[1.57077295 6.16863592],0.5522981319942198,0.0,8.475382089614868,0.1,1.0,0.0008000000000000003,0.0008000000000000003,0,1000,False,The maximum number of function evaluations is exceeded.
196,732,244,0,201,4,2.0743199504702687,[ 0.89685099 -0.91969383],[ 0.49534194 -0.00547465],"[array([1.57079633, 6.20579499])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.40150905,  0.91421919])]",tr_interior_point,[1.57079633 6.20579499],0.49534193586826064,0.0,1.3507578372955322,0.00010000000000000003,1.0,2.048000000000001e-09,2.048000000000001e-09,2,196,True,`xtol` termination condition is satisfied.
264,906,302,0,339,4,2.0805657655389744,[ 0.99999999 -0.91234737],[ 0.55231241 -0.00642282],"[array([1.57079633, 6.1989766 ])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([-0.44768758,  0.90592455])]",tr_interior_point,[1.57079633 6.1989766 ],0.5523124119558537,0.0,1.9650657176971436,1.0000000000000004e-05,1.0,2.048000000000001e-09,2.048000000000001e-09,2,264,True,`xtol` termination condition is satisfied.
1000,3063,1021,0,1914,1,2.099755106530775,[-0.99977493 -0.88937554],[-0.55218817 -0.00966535],"[array([1.57059165, 6.17790344])]","[<2x2 sparse matrix of type '<class 'numpy.float64'>'
	with 2 stored elements in Compressed Sparse Row format>]",[0],[0],[0],"[array([0.44758676, 0.87971019])]",tr_interior_point,[1.57059165 6.17790344],0.5521881716662334,0.0,8.63126254081726,1.0,1.0,0.0008000000000000003,0.0008000000000000003,0,1000,False,The maximum number of function evaluations is exceeded.
