x,fun,nfev,nit,message,success,jac
[ 0.50486854 15.24718298  0.23728052],0.029604838364037392,3043,66,Optimization terminated successfully.,True,[-3.98639453e-06  0.00000000e+00 -6.70193068e-06]
[0.51188494 9.38976217 0.25343012],0.030992959754353712,2204,47,Optimization terminated successfully.,True,[-1.33827670e-04  0.00000000e+00 -7.45514761e-05]
