success,status,x,fun,nit,nfev,njev,nhev,message
True,0,[ 0.53361275 10.03299505  0.2000952 ],0.030106324176066356,150,993,23,0,['Maximum number of iteration reached']
True,0,[ 0.53361275 10.76524078  0.2000952 ],0.030106324176207365,150,1093,48,0,['Maximum number of iteration reached']
