Al,Ap,Xtau,XN,Ztau,ZN,fun,xx,yy,zz,fev,11
0.5330461007645892,0.8131847638008998,2.623890043499939,26.0,1.9049888064146736,26.0,0.007223690754790944,-5.031632985221977e-08,-4.010560732039398e-09,0.9855526184903879,2238,shgo1
1.2315113462348783,0.5185452993320674,0.48137630310591734,19.0,0.3272524310429669,19.0,0.0005794444249128747,1.0815654522664431e-08,-1.9473473424921066e-10,0.9988411111501742,4168,shgo1
2.027863560730422,0.34202974861229474,2.9462982303229333,26.0,1.9223281591066885,26.0,4.1353943936394315e-05,-9.815838964288097e-11,-2.0718096010487186e-10,0.9999172921140561,3487,shgo1
3.5126949608385316,0.6543177112556308,1.752833865138425,38.0,0.9043465589528047,1.0,0.0012894998707723875,1.5593399753941264e-11,1.1400011888803262e-11,0.9974210002586305,1968,shgo1
2.379505130204917,1.0375460631799571,2.802318585837168,38.0,1.4094959081535872,38.0,0.0007871402772114562,-6.9083986606408715e-09,-1.5462747054995063e-10,0.998425719445644,3109,shgo1
1.7071156781276204,0.7054518856223599,3.95121841565947,26.0,2.0110436890098953,1.0,0.0018017286650251147,-2.0296113659894807e-11,-1.57021070425141e-11,0.9963965426699719,2772,shgo1
1.424750067216331,1.1121872403760713,3.1964774656107533,26.0,2.0761309805972803,26.0,0.004138597757194453,2.786293870648583e-09,4.768827984412416e-10,0.9917228044856564,2353,shgo1
1.4378303607626803,1.8597261804637808,1.3473980139431572,19.0,1.0725746988728666,7.0,0.009054699552774843,7.345498238904742e-07,-5.094100691948461e-07,0.9818906008944733,3111,shgo1
0.49695691583558105,1.5199552276091048,3.6616010587753385,50.0,2.380970331895306,26.0,0.0058058961969272935,-9.299225943372891e-09,5.939241739910301e-08,0.9883882076062156,2965,shgo1
3.953766636539086,0.7407737194148959,1.6759445999025258,38.0,0.962693227348641,26.0,0.00010419484238455856,1.5684659434688896e-09,-9.194262912592868e-10,0.9997916103173201,2132,shgo1
1.0440426118606627,0.4254915328739559,0.489363208121607,38.0,0.35306132260885315,38.0,0.0003462169831719938,-1.9841821542136012e-08,1.4763727566868834e-10,0.9993075660336829,5407,shgo1
2.949461172341989,1.3773314302078585,0.36734985554220584,19.0,0.19978330485701817,32.0,0.002615868019572482,-2.0762373581246357e-08,9.138219209114951e-10,0.994768263967887,5839,shgo1
4.724322586660944,0.5804601296885415,4.018381537375502,26.0,2.3124437140489986,13.0,8.370095851707212e-06,1.507988984755077e-09,8.407793406807473e-11,0.9999832598082935,3950,shgo1
4.1177124399207665,1.2159696470283892,2.9580651829008775,26.0,2.142638421229008,13.0,0.0011375570246586967,-8.48785419024973e-10,3.6214522274568824e-09,0.9977248859510898,3135,shgo1
1.8848112288533827,1.3518596472505973,3.829257003305397,13.0,1.9205564560253554,38.0,0.00961333640970915,2.8951654203537847e-07,-4.1017443564925204e-09,0.9807733271805833,3049,shgo1
2.160679997228398,0.47280106872661104,2.901517159459994,38.0,2.102438685847792,38.0,0.00019307321616922335,8.531826857553987e-10,-3.503741884298972e-10,0.9996138535782441,1668,shgo1
0.7429107653610522,0.38952579925710856,0.513166731741392,38.0,0.3702369026889845,38.0,0.00031866495658522447,-5.83877787397203e-08,3.2497049625920815e-10,0.9993626700871872,4773,shgo1
3.123895523477486,0.8173915340001408,4.030370969627811,26.0,2.0268725882955096,1.0,0.0003295513401938831,2.2698465559933302e-10,7.412509767502993e-13,0.9993408973195953,4437,shgo1
2.533764241317179,1.1159325379718101,2.7594218378926576,38.0,1.3780646447425149,38.0,0.008948296261662339,1.3468831245801413e-09,1.7882356871708945e-08,0.9821034074774807,1940,shgo1
3.0060304318208972,0.517459339785019,4.091028694231534,26.0,2.347978193133172,38.0,1.7270082156876536e-05,-5.2282305412681214e-11,8.838158719150831e-11,0.9999654598405564,2314,shgo1
3.381143511302702,1.877023192684077,3.185,50.0,1.831375,38.0,0.00901134584575962,5.7750587680255663e-08,-1.4953401946795676e-07,0.983411807767663,2714,shgo1
3.113039500726906,1.787684431975096,2.5580804589911335,26.0,2.0439834023114876,13.0,0.005191352680218414,7.21341928747979e-10,2.746469666276008e-10,0.989617294639594,3564,shgo1
5.014228705179574,0.7845113734514112,3.9119860891222786,38.0,3.127126840085024,26.0,6.279553787505635e-05,2.7475485884366413e-09,1.349036038775361e-09,0.999874408924246,2870,shgo1
0.7016102302098917,1.8183870525095618,0.48403407285689976,38.0,0.26379398200764836,26.0,0.0060300756489777806,-3.423175881804954e-06,-1.766087292763563e-07,0.9879398487019625,4248,shgo1
4.017352573451892,0.47850363322175876,2.996128645740599,50.0,1.9445572971508933,13.0,4.514556775013728e-05,7.32583248417803e-11,-2.422424066894635e-11,0.999909708864463,3720,shgo1
3.54303242294147,1.6938422774202386,3.135,50.0,1.8026250000000001,38.0,0.004823860517063188,-4.170605936835613e-08,6.016728560884759e-08,0.9903529943331881,3012,shgo1
4.652734453625587,1.3269818725060802,4.043315048056051,26.0,2.6267789473042873,13.0,0.0004456360408024641,-7.861609846252333e-10,2.006721376275454e-12,0.9991087279185213,3057,shgo1
4.614561737353199,1.0134824896568142,4.0548408861906875,13.0,2.3380888683597902,26.0,0.0001372597052401328,2.896913687506033e-08,-2.196606085393127e-09,0.9997254805904352,2622,shgo1
3.5890271996316927,1.7030218733494034,3.812098274951897,38.0,1.9062241588015403,38.0,0.0002458274632737693,5.787856410551369e-10,5.1993339802546956e-11,0.9995083450735179,1876,shgo1
4.124872416445338,0.8166033809291141,2.959452838128644,38.0,1.9229465451607486,1.0,0.0007572887300404241,-8.127428868256147e-10,-8.067964962776841e-09,0.9984854225399301,3977,shgo1
2.067211074671614,0.6328403596339686,2.926201265389428,13.0,2.1266836114616745,26.0,0.00028525576549930104,-3.804097201935838e-12,-1.303192120188923e-10,0.9994294884690325,2400,shgo1
2.0534935204946696,1.1518392337588501,0.42121651602522925,7.0,0.23616190459578396,19.0,0.002188172668031536,-3.813780053698798e-07,5.891951905534487e-09,0.9956236546644252,7082,shgo1
1.04517108702783,0.9325926413674179,1.454251051165454,26.0,0.8345793805686835,38.0,0.0017640357590611151,-1.6174766067538274e-09,-1.976220926974085e-09,0.996471928484242,2370,shgo1
0.3967891026803692,1.8390983009148747,0.5012711821847052,13.0,0.3436933731380044,26.0,0.00668271778563033,-2.7840420281800143e-06,5.3297198376878185e-08,0.9866345644287251,3840,shgo1
3.4248232581439315,1.0315631208877953,1.760631225653557,13.0,1.0237571035654311,26.0,0.0022434406800019195,1.035772953595016e-10,1.643721100799255e-11,0.9955131186442255,2453,shgo1
4.927085682649139,0.39895643905084255,3.9466357740857765,38.0,2.562146233294256,38.0,9.800211783112065e-06,-1.2102769115235916e-09,-1.3969797909778412e-09,0.9999803995764496,3515,shgo1
