x,status,success,message,nfev,fun,maxcv
[-0.75598325  7.05668427],1,True,Optimization terminated successfully.,4,2.060788561661937,0.0
[0.63866762 6.69422246],1,True,Optimization terminated successfully.,5,1.2840170998450768,0.0
[0.36812255 6.76189468],1,True,Optimization terminated successfully.,11,1.1146474707820717,0.0
[0.22774658 6.79275021],1,True,Optimization terminated successfully.,19,1.0300457624129042,0.0
[0.2358408  6.86862679],1,True,Optimization terminated successfully.,32,1.0115594481866406,0.0
[0.24157146 6.86740469],1,True,Optimization terminated successfully.,35,1.0025691563608734,0.0
[0.24319503 6.8702015 ],1,True,Optimization terminated successfully.,46,1.000908740471198,0.0
[0.24281798 6.86984903],1,True,Optimization terminated successfully.,50,1.000601229256201,0.0
[0.24282206 6.87033982],1,True,Optimization terminated successfully.,61,1.00050583242943,0.0
[0.24279253 6.87034388],1,True,Optimization terminated successfully.,65,1.0004734563953308,0.0
[0.24279195 6.87033819],1,True,Optimization terminated successfully.,68,1.0004724300780055,0.0
[0.24279141 6.87033528],1,True,Optimization terminated successfully.,75,1.0004716402077967,0.0
[0.24279118 6.87033526],1,True,Optimization terminated successfully.,83,1.0004713823529858,0.0
[0.24279105 6.87033535],1,True,Optimization terminated successfully.,87,1.0004712897038759,0.0
[0.24279108 6.87033533],1,True,Optimization terminated successfully.,96,1.0004712786102514,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,100,1.0004712722068083,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,103,1.0004712721925302,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,109,1.000471271576796,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,115,1.0004712714906636,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,122,1.0004712714645643,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,128,1.0004712714607287,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,133,1.000471271459769,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,140,1.0004712714594681,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,145,1.0004712714594635,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,147,1.000471271459464,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,152,1.000471271459457,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,158,1.0004712714594561,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,160,1.000471271459456,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,162,1.000471271459456,0.0
[0.24279107 6.87033533],1,True,Optimization terminated successfully.,163,1.000471271459456,0.0
