x,status,success,message,nfev,fun,maxcv
[2.01410552 6.98157888],1,True,Optimization terminated successfully.,4,1.502598947573529,0.0
[3.70217032 6.71627617],1,True,Optimization terminated successfully.,8,0.8938177234796061,0.0
[3.33713609 6.63036756],1,True,Optimization terminated successfully.,10,0.5709088117796586,0.0
[3.11935181 6.63016476],1,True,Optimization terminated successfully.,15,0.36937833893645555,0.0
[3.15057872 6.63426404],1,True,Optimization terminated successfully.,20,0.35263724474666674,0.0
[3.14471968 6.63419775],1,True,Optimization terminated successfully.,22,0.34515611712695976,0.0
[3.14130178 6.63464914],1,True,Optimization terminated successfully.,27,0.3415226254051503,0.0
[3.14152719 6.63452854],1,True,Optimization terminated successfully.,32,0.34123342614209745,0.0
[3.14160695 6.63464917],1,True,Optimization terminated successfully.,36,0.34116777830691625,0.0
[3.14158406 6.63464535],1,True,Optimization terminated successfully.,43,0.34116045247265914,0.0
[3.14158979 6.63464535],1,True,Optimization terminated successfully.,45,0.3411531103192786,0.0
[3.14159217 6.63464535],1,True,Optimization terminated successfully.,50,0.3411500510790398,0.0
[3.14159277 6.63464541],1,True,Optimization terminated successfully.,54,0.3411495759070761,0.0
[3.14159268 6.63464541],1,True,Optimization terminated successfully.,56,0.34114946118542033,0.0
[3.14159264 6.63464542],1,True,Optimization terminated successfully.,60,0.3411494487903553,0.0
[3.14159266 6.63464542],1,True,Optimization terminated successfully.,65,0.34114943443658874,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,70,0.34114943177404206,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,74,0.34114943130584596,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,79,0.34114943112650564,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,83,0.3411494310952821,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,85,0.34114943109149537,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,91,0.34114943108828005,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,95,0.34114943108771795,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,98,0.34114943108760626,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,102,0.3411494310875647,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,107,0.34114943108755624,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,112,0.3411494310875543,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,114,0.34114943108755375,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,116,0.34114943108755375,0.0
[3.14159265 6.63464542],1,True,Optimization terminated successfully.,117,0.34114943108755375,0.0
