x,status,success,message,nfev,fun,maxcv
[5.26551943 5.30963731],1,True,Optimization terminated successfully.,7,1.3002802217283245,0.0
[5.33412549 3.87015705],1,True,Optimization terminated successfully.,8,1.647746778289605,0.0
[4.8697736  4.68141748],1,True,Optimization terminated successfully.,15,0.20015258343485792,0.0
[4.74651783 4.73320398],1,True,Optimization terminated successfully.,23,0.055722438772114455,0.0
[4.71596042 4.70779437],1,True,Optimization terminated successfully.,30,0.008182924110379977,0.0
[4.71374699 4.71231244],1,True,Optimization terminated successfully.,35,0.0014354776879057156,0.0
[4.71172372 4.71312926],1,True,Optimization terminated successfully.,39,0.0014060324694900844,0.0
[4.71239122 4.71226825],1,True,Optimization terminated successfully.,45,0.00012297751134583175,0.0
[4.71242736 4.7124016 ],1,True,Optimization terminated successfully.,49,5.09978186321569e-05,0.0
[4.71238357 4.71238708],1,True,Optimization terminated successfully.,55,7.311979166330321e-06,0.0
[4.71239107 4.71239072],1,True,Optimization terminated successfully.,62,3.831395240625943e-06,0.0
[4.71238952 4.71238909],1,True,Optimization terminated successfully.,66,6.493025908327293e-07,0.0
[4.71238881 4.71238915],1,True,Optimization terminated successfully.,70,3.422559542443189e-07,0.0
[4.71238896 4.71238898],1,True,Optimization terminated successfully.,78,2.473355070757068e-08,0.0
[4.71238898 4.71238897],1,True,Optimization terminated successfully.,84,1.2899674678898413e-08,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,88,5.08048844830501e-09,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,96,5.14712803569174e-10,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,98,1.332896015782126e-10,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,102,6.443210196226716e-11,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,106,5.708711282159376e-12,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,114,1.5904499960604992e-12,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,118,1.30517818774935e-12,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,126,1.1033182993962525e-13,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,129,4.627196141875393e-14,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,139,1.0103029524088934e-14,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,143,1.5543122344752192e-15,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,146,4.440892098500626e-16,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,148,4.440892098500626e-16,0.0
[4.71238898 4.71238898],1,True,Optimization terminated successfully.,149,4.440892098500626e-16,0.0
