x,status,success,message,nfev,fun,maxcv
[2.09403203 1.16002929],1,True,Optimization terminated successfully.,4,1.0514216265997194,0.0
[1.49793937 1.13088908],1,True,Optimization terminated successfully.,7,0.5951274693665116,0.0
[1.6193182  1.73670492],1,True,Optimization terminated successfully.,11,0.2283490583648579,0.0
[1.5464507  1.60234199],1,True,Optimization terminated successfully.,17,0.056668022601698995,0.0
[1.5635006  1.57009462],1,True,Optimization terminated successfully.,28,0.00802420283272877,0.0
[1.5722095  1.57000394],1,True,Optimization terminated successfully.,35,0.0022068774210865986,0.0
[1.5714049 1.5705805],1,True,Optimization terminated successfully.,39,0.0008246029052235986,0.0
[1.5707049 1.5707113],1,True,Optimization terminated successfully.,44,0.00017646797460174247,0.0
[1.57078393 1.57082564],1,True,Optimization terminated successfully.,48,4.170408930961574e-05,0.0
[1.57079081 1.57080378],1,True,Optimization terminated successfully.,51,1.2973841680378547e-05,0.0
[1.57079705 1.57079412],1,True,Optimization terminated successfully.,55,2.935351278015247e-06,0.0
[1.57079655 1.57079547],1,True,Optimization terminated successfully.,58,1.0756121141818993e-06,0.0
[1.57079625 1.57079634],1,True,Optimization terminated successfully.,67,9.430015501801979e-08,0.0
[1.57079629 1.5707963 ],1,True,Optimization terminated successfully.,71,7.105523855412926e-08,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,79,9.582656452433504e-09,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,88,2.6755849202887224e-09,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,94,6.228463855784171e-10,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,100,1.3497047923749506e-10,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,103,5.176115092126999e-11,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,108,1.1448897385819706e-11,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,112,3.17576862323203e-12,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,116,6.488143355909585e-13,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,120,2.95763413760142e-13,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,127,2.731148640577885e-14,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,131,8.881784197001252e-15,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,140,1.9984014443252818e-15,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,143,8.881784197001252e-16,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,146,4.440892098500626e-16,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,147,4.440892098500626e-16,0.0
[1.57079633 1.57079633],1,True,Optimization terminated successfully.,148,4.440892098500626e-16,0.0
