Al,Ap,cost,Xtau,XN,Ztau,ZN,xx,yy,zz,fev
4.938936446107416,1.3687162653812752,0.006413613645401717,3.9299999999999997,10.0,1.4737500149011613,22.0,-0.0158491370440052,-0.0031905760038211245,-0.9871727727091861,73953
3.2748818443143577,0.9000031095586968,0.010299897868021435,3.965,10.0,0.9912500000000001,7.0,-0.014491159797124866,-0.01604792009728317,-0.9794002042639521,50643
0.6006195937193088,1.437384630076091,0.00994459753990018,3.5999999999999996,10.0,0.225,10.0,0.008600158383881897,0.0728172711162991,-0.9801108049201949,77316
2.8790744716141226,1.1027074385018734,0.015039246850433785,1.8849999999999998,25.0,0.2356250149011612,10.0,-0.03321653053625109,0.00027448869349957356,-0.9699215062991576,52962
2.660896168349123,1.6186961689032808,0.016857310284333904,2.7,7.0,0.3375,13.0,-0.056013978673708664,-0.0019782113527119505,-0.9662853794313359,59026
4.183089400165927,1.1816343762953605,0.010968993355023104,2.9349999999999996,10.0,0.9171875,25.0,-0.021300108818554063,-0.022057037737223784,-0.9780620132899613,43521
4.844179366977987,0.36654622721341745,0.08291369258634107,3.975,25.0,0.2484375,19.0,-0.001488081054357607,0.0056664823479771614,-0.8341726148272968,65548
3.0411976553342335,1.6957573739125011,0.01819805503680938,2.58,7.0,0.48375,4.0,-0.06258126837260858,0.0005245241555840675,-0.9636038899263912,54411
3.027454076878744,0.5094461304763109,0.012449280397886175,4.084999999999999,19.0,1.5318749999999999,19.0,0.006094891542128739,0.05275458778157828,-0.9751014392042437,42928
2.73953559660816,0.6454590635261218,0.0029956766552537983,1.92,16.0,0.6000000149011612,22.0,-0.017027633931190216,0.01091239011577846,-0.9940086466894849,34851
0.40277215158553514,1.662962989238489,0.03299135048336066,4.76500001490116,25.0,0.8934374999999999,25.0,-0.1364725706209644,-0.02827731603794842,-0.9340172990332564,47504
2.612297708563578,1.7491949572034906,0.037511933663458286,4.26,7.0,1.86375,19.0,-0.05549580797608834,0.0034182465058183956,-0.9249761326730921,45136
2.941400075394059,0.7344482861091173,0.0023040726559929725,4.125,13.0,0.515625,22.0,-0.01770539884573507,0.010384385198321182,-0.9953918546879917,43099
2.8802559120641775,1.6038623515565558,0.020777769461184037,4.885,25.0,0.6106250149011612,10.0,-0.05644068819477265,0.02066891546428077,-0.9584444610776442,69579
0.7196041515050858,1.567479123506925,0.016906466766438033,2.5199999999999996,7.0,0.1575,1.0,-0.1109633728270823,-0.04752350471411236,-0.9661870664671177,55029
2.413204255458633,1.2765136648025905,0.010015446899900637,1.995,25.0,0.4987500149011612,13.0,-0.04981564346763303,-0.0005920827697283408,-0.9799691062001802,46102
1.2712780669508024,1.039474413731199,0.0020226255745475763,1.4000000149011613,10.0,0.2625,4.0,-0.009277850949728236,0.03146431464571591,-0.9959547488509041,71155
4.444471718647353,1.2911183676168354,0.015256305430063843,4.125,10.0,1.546875,13.0,-0.03485541221408393,-0.011715123150717963,-0.96948738913986,63889
1.8175964380024843,1.081002590840857,0.0038221612059812227,3.885,7.0,0.24281250000000001,13.0,-0.01594679561305211,0.02508381631528254,-0.9923556775880672,50138
1.931829310032238,0.40363013846982365,0.0008844455847414334,2.9900000149011614,19.0,0.560625,10.0,-0.010550365724225031,0.004692391636867138,-0.9982311088305316,58552
4.726934640143734,1.580694997206266,0.017931174006516226,2.7749999999999995,7.0,0.1734375,4.0,-0.03389462274653936,0.005060995269919197,-0.9641376519869633,40380
1.080502187468217,1.536619226677754,0.005038373981349098,3.345,10.0,1.0453125,1.0,0.01815010511587172,-0.03433738093458931,-0.9899232520372934,76400
1.622246829823352,1.263690305865694,0.02426668961279721,4.875000014901161,25.0,0.609375,22.0,-0.06648899776913246,-0.007662033933097468,-0.9514666207743949,60821
3.4445098972661072,1.6839559627522656,0.007440444179420802,3.170000014901161,22.0,1.18875,22.0,-0.016762554985832196,-0.013465796597022982,-0.9851191116411531,53616
0.9758168626659283,1.6501039203813568,0.01067779876701358,2.4250000149011615,13.0,1.0609375,16.0,-0.05303147885341335,-0.051573914019551324,-0.9786444024659914,47268
0.9078194790523137,1.6133953339790057,0.015836752648314523,2.4500000149011614,10.0,0.153125,7.0,-0.1002263905958275,-0.029355574549316036,-0.9683264947033697,49180
2.8948296752686256,0.826710144777352,0.0175817589339492,4.1450000000000005,10.0,1.2953125149011613,19.0,-0.02894114470902426,-0.026950863133719,-0.9648364821321113,39562
