x,fun,nfev,nit,message,success,jac
[ 0.50431675 14.3906179   0.17858262],0.029865016643444615,3722,81,Optimization terminated successfully.,True,[-9.48234542e-06  0.00000000e+00 -2.42687814e-06]
[0.52990932 9.72864212 0.17242668],0.02900592759333933,2924,63,Optimization terminated successfully.,True,[6.13419035e-05 0.00000000e+00 3.28834182e-05]
