Case,Theta,Phi,target_X,target_y,target_z,time,fidelity,fin_x,fin_y,fin_z
Case1,1.5817891486496853,2.5842678877246197,0.5288857365652757,0.8486218476995531,-0.01099260045678746,234,0.901811761805654,0.6080288069362542,0.7938695884242042,0.008488021612565289
Case2,1.3292740315852567,5.226047881303861,-0.8456730783082164,-0.4771053210439256,0.23918101357816407,49,0.9809447450565948,-0.8368765620781398,-0.49376126944368126,0.23629944697701727
Case3,1.5013965138170176,2.7643560824019935,0.367466058804019,0.9274481597263005,0.06934411761166065,79,0.9070169817228904,0.45211507533990686,0.8890571998507351,0.07189752460252852
Case4,0.9844412867419368,2.1912256102435443,0.6777228691732626,0.4842718100117316,0.5533285882976966,33,0.9696851489746066,0.6646026923691124,0.510490958822325,0.5456209694067813
Case12,0.828680245808602,2.534560023908836,0.4204317818471621,0.605363663269816,0.6758490600758196,33,0.9000157338387436,0.5051757981691805,0.554284776742191,0.6614875654281009
