Al,Ap,Xtau,XN,Ztau,ZN,fun,xx,yy,zz,fev
4.100950111248949,0.44485440687917,2.969424454280053,17.0,2.3745611357001337,13.0,0.24022892663435008,0.024648132783478438,0.015497977626025956,0.770747782555481,1635
2.402025704808203,1.6302564283506806,4.391042203410815,9.0,1.8500852729734392,13.0,0.08969155381350091,0.11802524953529415,0.012016826328230298,0.9773917391245192,1552
0.34125433038456304,1.5799048254906487,0.5027128243110802,15.0,0.17501457661225767,7.0,0.08304508772685673,0.07557353024461973,0.0008625241621982097,0.9896704079642483,2110
3.5091382870483634,0.5088915895647669,1.7550000000000001,17.0,0.41681250000000003,5.0,0.09131001944025126,0.010824383384595966,0.008973035709960359,0.9209146932345998,1057
4.5160070609447365,0.7477758807998135,4.106228077754179,17.0,0.20525000000000004,1.0,0.01944295314261672,0.01569067565654304,0.22293721996498517,0.9989374956393109,1806
1.4702781986383744,0.4484024176701243,4.09705307784571,13.0,3.2759999999999994,9.0,0.04463202331745672,0.014678106564270666,0.030490609044967483,0.9777394134483853,2561
2.7483153338678585,1.2333076315543798,4.219754916817965,9.0,2.4703831429167926,1.0,0.0419024422624323,0.03786548521721952,0.01371440336424519,0.9970104765280181,1558
1.481752304595836,1.2517553617604842,3.1514640278365076,9.0,0.1897081331845657,5.0,0.006561877477152665,0.0806833971810918,0.16729993975848478,0.9998249703467409,2838
2.3844914589328052,1.8271783439170177,4.366668351219003,9.0,2.847900974749431,1.0,0.1274810427432011,0.09038032388458062,0.008962432687431195,0.9625786256616157,1697
4.477611223870655,1.2618474631293295,2.8547702638520858,9.0,2.275839628082561,13.0,0.03291307015636198,0.2813832312875841,0.037876986305344876,0.9981582169661412,1659
