Al,Ap,N,x,z,fun,6,7,8
2.25274316013476,1.7783603217899189,9.0,4.445715752782131,0.6759640873589079,0.08806625271969805,0.09113934512663227,0.06102716057132444,0.9776864651860548
3.8818025413667,1.3890278086006063,9.0,1.6917083380989482,1.060291665531264,0.04699376492861383,0.07124632261863816,0.021609726211171985,0.9854096868606668
0.31432496539585686,1.5354762991300106,3.0,0.5424866562890525,0.3190187427030606,0.06947857813419753,0.07292838227784923,0.0006676691500381998,0.9896317280839091
0.8317801473911473,1.194493066587068,9.0,2.490372675368886,0.3781217209548186,0.08060839943500106,0.08092184655008539,0.23360611395978575,0.9624909914691288
0.8843682295029508,1.8462720889756026,9.0,2.44024271404198,1.5651410191900708,0.0968371634090519,0.3697630726084504,0.17907471794202268,0.9726999433195195
3.9827316818277154,1.1526510950683488,9.0,1.6608718704489809,1.0691353334368106,0.014432669423650502,0.10457830017919428,0.02892519218924034,0.9979735092223282
1.5929180790816224,0.67706603824497,9.0,4.020156222161759,3.2160000000000006,0.02110070914058224,0.021469405678807826,0.08980730279981786,0.9867344667939264
1.627067968305993,1.5203492302353956,13.0,4.843875583776226,2.285079283129783,0.07199232506020689,0.07772257335149106,0.09994485546904774,0.9894197816854494
1.6313106667848791,1.8599707549603441,9.0,1.3063209063697978,0.6339565145553361,0.0021680827305737525,0.1374141282411805,0.24413909906329453,0.9992324353887895
4.743469617215606,0.9939538700644589,13.0,4.004093489891217,1.259636920216681,0.0097024442451292,0.08276103026819143,0.3082870398401084,0.9994357772524295
0.6613537582165891,1.6708490362852062,15.0,0.4834300548948032,0.20571516634415482,0.07300833981633865,0.07864122556441663,0.0009063611659243728,0.9883212474352453
2.5717055511621174,0.5732944382662757,13.0,2.748874422243965,2.1955464252694865,0.07332881190494425,0.03214570427784809,0.005085401387677713,0.9287762770601439
0.8925814175510683,1.2276018336047232,13.0,4.451595244621145,2.0961096809315154,0.019113825638224564,0.10341161884353586,0.11217495478421341,0.9964104180164395
2.683184408607449,0.5047661510397142,17.0,2.71,1.7276250000000002,0.09829461503672976,0.02600237225317984,0.01124890900295723,0.9030497367060856
2.9001487508128045,1.8697487454258506,13.0,4.852104501435595,1.5296424388577057,0.11833339505969936,0.25579694388873303,0.3622076719290729,0.9452979374329392
3.377681198432872,1.22759654728088,9.0,1.7781520630236696,0.267,0.04749942932354014,0.05309816835259318,0.1582520207169836,0.9828231055561512
2.7249770594940257,0.9314637184302479,9.0,4.226760913195708,0.6345000000000004,0.05182243103729817,0.03684942003334605,0.03463512408943687,0.9648280099104455
0.8691222552743805,0.8992379338499833,9.0,1.4761965750626795,0.7219553812539039,0.004510787786546495,0.045263568244902186,0.14298815057945835,0.9989991193875484
4.644891084988666,1.7986962206736405,9.0,0.30717346401031675,0.09949238524115799,0.049550724792500306,0.05676295578625212,0.0011668950700483294,0.9949224612433024
2.9411579191598927,1.3372126605739336,15.0,0.3846388432308962,0.27588815631008584,0.046007406377829,0.04994354067523461,0.0009063241493393256,0.9954942581312268
