Al,Ap,N,x,z,fun,xx,yy,zz,fev
2.337698476079818,1.2281239531892851,7.0,0.403303230388329,0.27453842124493993,0.05260340989338683,0.04688676336827195,0.0007005828151576063,0.9942673199285834,464
0.6749483558228724,1.6287662989427059,9.0,0.5241686109287954,0.33365176836377164,0.08328867938122445,0.07477552185620934,0.0011025998832094597,0.9893388302736545,616
3.409901162451778,0.5065815367461001,13.0,1.7768215106572083,1.0867905544132255,0.21417323276174427,0.014382428094917868,0.006873167881195769,0.8019885808458453,480
0.4229511521350617,0.7453524712041133,9.0,2.66599973687607,0.6526417183705977,0.050463457341588525,0.07291185078178332,0.025776428590886073,0.9956840768729056,505
2.4301317992552183,0.9966508845653657,9.0,2.7858770278679987,1.1932225362262558,0.057167745953043095,0.03907947297198541,0.07923012814041641,0.9882630877924812,398
2.314076984090216,0.9412059184110533,9.0,2.8292785898068984,1.2101313797567823,0.06534825532650174,0.0383551367829504,0.07371245412235419,0.9830729927372754,388
1.98685675424481,0.5502721810580321,13.0,2.9663413919724833,1.8136826004203705,0.0526802604912227,0.018985639992999046,0.06092521123641055,0.9879806308877322,492
2.2660033144195064,1.6380437715978513,9.0,2.040203314307801,0.5063680435718915,0.10207720155342623,0.14612207732764107,0.0687184768799729,0.9696684374341157,617
4.264840784188928,0.3485265949390211,17.0,2.92,0.146,0.46661751096818394,0.012073409572921828,0.006168629494635272,0.5376187495554585,457
4.052568425799141,0.5394827483508126,13.0,1.6570011955129362,1.0121804379129493,0.23909602319898082,0.006300638961278471,0.01095631605371808,0.7715765342683012,520
4.431908435508717,1.8247592661134975,13.0,0.32736836363888977,0.24789581050113005,0.06256216896338483,0.05684196207149082,0.0010443962376419924,0.99313494764178,341
3.876803503783728,1.6461536922553095,9.0,0.3293990333663479,0.14958061387060273,0.05470850331306883,0.05523099132691202,0.0011872419996329982,0.9950350693308226,533
4.056650634833079,0.5164268904370539,15.0,1.6568282598845117,0.34608041777986415,0.14150796287127698,0.010941661690238594,0.010838436394922171,0.8764543253091477,503
2.5399073143190107,0.9417133598460096,9.0,2.750745518929432,1.17434823951468,0.08220717942498781,0.038248495422441756,0.0579803243334657,0.9726689652001255,493
0.8351946865052235,1.202261620101298,9.0,2.486582574760056,1.5334526254068244,0.0976102712183278,0.18395351817567504,0.0850819445131343,0.9629378932475697,640
1.9244323862833437,1.7863835769526581,9.0,2.100920269171576,0.5173941124802235,0.11553632947912483,0.14951690389595926,0.037843314875019685,0.9777969867922595,467
2.8666141644950645,0.442919374011682,13.0,4.165813951808048,1.7700742575209278,0.29416638073839785,0.009756287131444365,0.005676496701401981,0.7179337956117426,425
0.33605861413475935,1.6224593542969301,15.0,0.5758980439075772,0.28868196133298524,0.08388263030147398,0.07767202629823622,0.0008473583847032201,0.9892563799092303,573
5.017068030651745,1.1207796962182417,9.0,3.901125098493151,1.6632072837691683,0.1424697668641633,0.017461718225108717,0.15883188921368213,0.8734130123278809,413
1.0070584184226357,1.388473853323037,5.0,4.338147925178242,1.0531465456524758,0.13598879539267264,0.07266756277402128,0.05575638593518417,0.9403153016623029,797
0.5152514284879348,1.4547000001798456,9.0,3.6372651808451586,0.8739174218522934,0.05541743261469851,0.1136300404758635,0.21417748680065218,0.9848102091161829,863
3.4244406209362137,0.7377174569129407,17.0,1.77,1.084125,0.16280357250825606,0.019035403609940008,0.010811035304374186,0.9021569944104298,344
1.2500048775498445,0.3748348975350006,15.0,0.47130010117056065,0.17953021266443916,0.05943413100853482,0.014830392200852228,0.00012417276297982394,0.9714319781335411,460
2.201372778668782,1.851481582079377,9.0,3.661951412527178,2.931999999770449,0.1329851386634582,0.05330834183335993,0.13602781759884086,0.918790945907325,586
0.9621536638974117,1.3149938918160742,5.0,4.373189479211717,1.059996767174788,0.2290756390006823,0.07539848616476828,0.04218959984277248,0.8390815710233694,864
4.868384843550954,0.39728174821647355,17.0,3.965,1.6851250000000004,0.43320263748429494,0.00587919206640284,0.02422942280770924,0.5729529768027635,459
4.321701313960194,0.32277720539658106,17.0,2.8999999999999995,1.7762499999999999,0.6122159932394963,0.002048223170316374,0.004459677104236677,0.3932676213846361,426
1.033059737273768,1.1253620412742402,17.0,4.34025915095084,2.6887271226229013,0.07712003393201818,0.1780897785567537,0.04289990995002932,0.9835622538341801,596
3.4550591781602447,0.3611910104749988,13.0,1.7669097534559703,0.7567266632768493,0.5325374250751138,0.006954324909665438,0.0769911892724395,0.48063696711663434,431
0.9717938278818669,1.7965501097348349,9.0,0.4994989521669244,0.3179483345710508,0.09004277511779364,0.08150690655482942,0.0014672216510143443,0.9876147670105572,634
1.66872383430127,1.2882608133350582,13.0,4.830753807095484,2.0695272082891987,0.07266166600357273,0.06364020020465455,0.00864116016910247,0.9911846537946486,622
3.4709803826819043,1.4286977656396027,5.0,3.855392838745146,0.20658585164772178,0.2922533845579499,0.01526545085882336,0.07085387605134533,0.7263572799230762,434
3.876415736374767,1.7616689527746825,15.0,0.34528768464730214,0.1125916154508954,0.060875432707214114,0.05914746935594265,0.0011243976547758439,0.9940317939647924,525
4.04902337647165,0.6409320268944019,13.0,1.656795102159614,1.0128437396771566,0.10273710456221913,0.013380755187803973,0.015127945529778537,0.9111113638289934,490
1.8929668181566985,0.9946558421931824,9.0,2.989164592846364,1.279831184785459,0.09790191703937558,0.033740771228653224,0.10943841511844477,0.9400159888083491,544
1.4363352918238588,1.525862929468126,9.0,1.367788471185051,1.084040380450991,0.056779583082143086,0.06337693423145149,0.2561969882649229,0.983325600591416,1021
0.8256935651956352,1.8275774481717357,9.0,2.460950610042767,1.5222839402072812,0.1261132798443123,0.16075079441981305,0.14628629686913727,0.9702136479765175,796
2.585649711509664,1.253147186747541,9.0,4.285776029703645,2.6473342277586998,0.05295563601904612,0.04788416746192094,0.005291868685576656,0.9948036564152689,573
2.5539472085366115,1.6413489461786095,5.0,4.287518201901661,0.2260202507997193,0.17916174339223961,0.0651794095145846,0.008245433613526275,0.8790680504420666,497
1.588750783241881,1.3588958128391773,5.0,4.8932881685533145,0.2445000000000025,0.3361161866373116,0.11987305538678421,0.01741583095428024,0.7385985502008112,648
4.895997194091995,0.7665136512066346,17.0,3.9549999999999996,0.9393125,0.4116912276048794,0.00908208985093556,0.14119863007761585,0.6052344542098158,477
3.7556303857360596,0.9502400458711417,9.0,1.7064057947845364,0.4092263951318441,0.07443579937037727,0.0706086668134151,0.020311035948840914,0.9585836490561873,492
0.9794713468886006,1.8496816287626174,15.0,0.4568910268770252,0.1644064839422064,0.09173189252157898,0.08475964553975814,0.0014936393965774564,0.9872093485574882,703
2.3846418291189164,1.7230936180914196,9.0,4.392970213792611,2.6808275812711844,0.15090911420243736,0.10280914322856538,0.007143320332662927,0.9708454472124668,570
1.2400610445049363,1.8191470839682018,9.0,3.2717235311166912,1.3534332772119924,0.0632489360389393,0.07758823677718099,0.28741621304428666,0.9461972179440191,805
0.7095610760044627,1.442302633295775,9.0,2.5201568663490614,1.5694408679385163,0.14832593452742457,0.17525586593458478,0.029046236826681563,0.9625201638197991,656
2.4865270845911422,0.4579049579205489,17.0,2.780315834934341,1.1827410377262855,0.0873285866311235,0.02199658126883146,0.01604091108922416,0.9492828817288038,499
0.9571701113340368,1.2156804967109283,13.0,4.3801535491239125,0.2409992658618911,0.14200285729691317,0.1040549183722489,0.04326982914366828,0.9769877408221785,682
3.9862200192756427,0.5278292958536687,13.0,1.6665432705148058,0.71414175193262,0.3018139605898075,0.013248160495135199,0.12913824224091086,0.7192122087152664,518
0.452637512200976,1.2347064481232524,5.0,3.6916947927849235,1.469647520225738,0.12065496342248334,0.05927338470894901,0.15258588572350912,0.9506064708865409,1142
2.006410138796624,1.5684346722744336,9.0,2.085777539343761,0.5106302511643814,0.08786613605719826,0.15869695857908478,0.03998341792531462,0.9880608208377785,542
4.867735046248551,1.5231910681686287,9.0,3.9590247398643656,1.6739313052402136,0.06553574092087701,0.038482215817220056,0.1721090468756667,0.995892514022782,442
1.705031426796204,1.5721317795357406,13.0,4.791795158961102,2.0522199034114617,0.09483853516033453,0.07907891320235093,0.011798209873124483,0.9858827875677842,675
3.104756942151878,1.527936472314462,15.0,0.3765006392372561,0.04892025159246525,0.05607258982847662,0.055514672799837406,0.0010536029090961185,0.9948077482616876,560
0.8584195768644456,1.1574534723033336,13.0,4.4571739741230205,0.23326787526195125,0.11451581554697378,0.09993038860590996,0.030374219020099888,0.9762713222468089,638
2.9036104554855333,1.0774377553864931,5.0,4.129286619082651,0.21518208095846472,0.37345243779424286,0.019527605408879902,0.016147392244476387,0.6475572526291151,439
1.9694000444425777,1.506507932138701,9.0,2.099409087148359,0.5105505263325479,0.08338246927967785,0.14459711076363468,0.03762838907366914,0.9885757520755503,399
0.9275078110101325,1.7337003549482417,9.0,2.4314433383846485,1.4937473216942094,0.10741531961061208,0.3531491254857087,0.25404837652334317,0.9352620729187759,652
2.1320130562420805,1.867651622246296,5.0,3.6808697696021473,0.8993360665040794,0.16865976403637578,0.08850528078271755,0.1248517217545291,0.8499701222668038,604
4.124022884290123,1.6777826491280183,9.0,4.24524885738161,1.8210047801905103,0.08983340331848377,0.1817642807053163,0.3871828445686454,0.9792255610939228,678
