fun,nit,nfev,status,success,message,x,final_simplex
2.081313544054112,1,3,0,True,Optimization terminated successfully.,[2.92294902 2.70597493],"(array([[2.92294902, 2.70597493],
       [2.78376098, 2.70597493],
       [2.78376098, 2.84127368]]), array([2.08131354, 2.10640042, 2.16761546]))"
2.081313544054112,1,3,0,True,Optimization terminated successfully.,[2.92294902 2.70597493],"(array([[2.92294902, 2.70597493],
       [2.78376098, 2.70597493],
       [2.78376098, 2.84127368]]), array([2.08131354, 2.10640042, 2.16761546]))"
2.0,7,18,0,True,Optimization terminated successfully.,[3.14159265 2.30007869],"(array([[3.14159265, 2.30007869],
       [3.14159265, 2.23242932],
       [3.14159265, 2.23242932]]), array([2., 2., 2.]))"
2.0,9,26,0,True,Optimization terminated successfully.,[3.14159265 2.30007869],"(array([[3.14159265, 2.30007869],
       [3.14159265, 2.28316635],
       [3.14159265, 2.28316635]]), array([2., 2., 2.]))"
2.0,11,34,0,True,Optimization terminated successfully.,[3.14159265 2.30007869],"(array([[3.14159265, 2.30007869],
       [3.14159265, 2.29585061],
       [3.14159265, 2.29585061]]), array([2., 2., 2.]))"
