fun,nit,nfev,status,success,message,x,final_simplex
1.9018130648273912,1,3,0,True,Optimization terminated successfully.,[2.29511547 2.58398326],"(array([[2.29511547, 2.58398326],
       [2.40987125, 2.58398326],
       [2.29511547, 2.71318242]]), array([1.90181306, 1.95740839, 2.0327587 ]))"
1.9018130648273912,1,3,0,True,Optimization terminated successfully.,[2.29511547 2.58398326],"(array([[2.29511547, 2.58398326],
       [2.40987125, 2.58398326],
       [2.29511547, 2.71318242]]), array([1.90181306, 1.95740839, 2.0327587 ]))"
0.07814960698711458,15,31,0,True,Optimization terminated successfully.,[1.63577407 1.55972661],"(array([[1.63577407, 1.55972661],
       [1.60680496, 1.61196143],
       [1.53485847, 1.48579037]]), array([0.07814961, 0.07862251, 0.12503311]))"
0.01724283578489781,21,42,0,True,Optimization terminated successfully.,[1.55997574 1.56445211],"(array([[1.55997574, 1.56445211],
       [1.58524185, 1.56287695],
       [1.55633228, 1.583017  ]]), array([0.01724284, 0.02249918, 0.0268619 ]))"
0.002107738972080069,25,50,0,True,Optimization terminated successfully.,[1.56908449 1.57119069],"(array([[1.56908449, 1.57119069],
       [1.5736644 , 1.57219454],
       [1.5737325 , 1.56588669]]), array([0.00210774, 0.00427137, 0.00786212]))"
0.00035513516906505804,29,58,0,True,Optimization terminated successfully.,[1.57050474 1.57085983],"(array([[1.57050474, 1.57085983],
       [1.57160828, 1.56996559],
       [1.57224169, 1.57109236]]), array([0.00035514, 0.00164337, 0.00174248]))"
0.00028363778402728314,33,66,0,True,Optimization terminated successfully.,[1.57090577 1.5709705 ],"(array([[1.57090577, 1.5709705 ],
       [1.57050474, 1.57085983],
       [1.57081124, 1.57122648]]), array([0.00028364, 0.00035514, 0.00044516]))"
1.6787736672365982e-05,38,75,0,True,Optimization terminated successfully.,[1.570802   1.57080744],"(array([[1.570802  , 1.57080744],
       [1.57087316, 1.57078301],
       [1.57072343, 1.57073508]]), array([1.67877367e-05, 9.01587255e-05, 1.34155281e-04]))"
1.6787736672365982e-05,42,83,0,True,Optimization terminated successfully.,[1.570802   1.57080744],"(array([[1.570802  , 1.57080744],
       [1.57079368, 1.5707808 ],
       [1.57081173, 1.57078547]]), array([1.67877367e-05, 1.81650986e-05, 2.62557281e-05]))"
3.3106182298339116e-06,46,91,0,True,Optimization terminated successfully.,[1.57079897 1.57079566],"(array([[1.57079897, 1.57079566],
       [1.57079507, 1.57079187],
       [1.57079749, 1.5708013 ]]), array([3.31061823e-06, 5.71261788e-06, 6.13865610e-06]))"
4.5069665546848214e-07,51,101,0,True,Optimization terminated successfully.,[1.57079643 1.57079668],"(array([[1.57079643, 1.57079668],
       [1.57079633, 1.57079553],
       [1.57079487, 1.57079611]]), array([4.50696655e-07, 7.98061751e-07, 1.66829077e-06]))"
2.667905220910151e-07,55,109,0,True,Optimization terminated successfully.,[1.57079618 1.57079621],"(array([[1.57079618, 1.57079621],
       [1.57079627, 1.57079596],
       [1.57079643, 1.57079668]]), array([2.66790522e-07, 4.23190198e-07, 4.50696655e-07]))"
5.635596811438132e-08,61,120,0,True,Optimization terminated successfully.,[1.57079631 1.57079629],"(array([[1.57079631, 1.57079629],
       [1.57079633, 1.57079638],
       [1.57079627, 1.57079631]]), array([5.63559681e-08, 5.64308847e-08, 6.69062870e-08]))"
1.546045869106727e-08,66,129,0,True,Optimization terminated successfully.,[1.57079632 1.57079632],"(array([[1.57079632, 1.57079632],
       [1.57079632, 1.57079634],
       [1.57079631, 1.57079632]]), array([1.54604587e-08, 1.81049160e-08, 2.62423971e-08]))"
3.4737794317989595e-09,72,140,0,True,Optimization terminated successfully.,[1.57079633 1.57079633],"(array([[1.57079633, 1.57079633],
       [1.57079633, 1.57079633],
       [1.57079632, 1.57079632]]), array([3.47377943e-09, 4.96130709e-09, 6.30529268e-09]))"
