fun,nit,nfev,status,success,message,x,final_simplex
1.9615187202418674,1,3,0,True,Optimization terminated successfully.,[2.84578292 4.56412974],"(array([[2.84578292, 4.56412974],
       [2.71026945, 4.56412974],
       [2.71026945, 4.79233623]]), array([1.96151872, 2.01984112, 2.11823674]))"
1.9615187202418674,1,3,0,True,Optimization terminated successfully.,[2.84578292 4.56412974],"(array([[2.84578292, 4.56412974],
       [2.71026945, 4.56412974],
       [2.71026945, 4.79233623]]), array([1.96151872, 2.01984112, 2.11823674]))"
1.927272536998382,6,13,0,True,Optimization terminated successfully.,[2.82672634 4.44467791],"(array([[2.82672634, 4.44467791],
       [2.83731333, 4.48568376],
       [2.84578292, 4.33592325]]), array([1.92727254, 1.93835807, 1.94091037]))"
1.9124202294155954,9,19,0,True,Optimization terminated successfully.,[2.83890138 4.40055204],"(array([[2.83890138, 4.40055204],
       [2.83072954, 4.42024711],
       [2.83056412, 4.39108058]]), array([1.91242023, 1.91659256, 1.92175693]))"
1.9103344250236365,13,27,0,True,Optimization terminated successfully.,[2.84061853 4.412351  ],"(array([[2.84061853, 4.412351  ],
       [2.83857519, 4.41150124],
       [2.84151711, 4.40533478]]), array([1.91033443, 1.91069655, 1.91116299]))"
1.9093658879830107,18,36,0,True,Optimization terminated successfully.,[2.84055698 4.40863045],"(array([[2.84055698, 4.40863045],
       [2.84064103, 4.40987781],
       [2.84131939, 4.40871657]]), array([1.90936589, 1.90940927, 1.90981888]))"
1.9091912994726608,22,44,0,True,Optimization terminated successfully.,[2.84069956 4.40934286],"(array([[2.84069956, 4.40934286],
       [2.84069318, 4.40889728],
       [2.8409592 , 4.40898535]]), array([1.9091913 , 1.90919141, 1.90933324]))"
1.9090925782021335,26,52,0,True,Optimization terminated successfully.,[2.84078071 4.40908736],"(array([[2.84078071, 4.40908736],
       [2.84073883, 4.40919649],
       [2.84072843, 4.40904753]]), array([1.90909258, 1.90912399, 1.90913049]))"
1.9090826698462888,31,62,0,True,Optimization terminated successfully.,[2.84077562 4.40910648],"(array([[2.84077562, 4.40910648],
       [2.84077645, 4.40912598],
       [2.8407646 , 4.40912522]]), array([1.90908267, 1.9090877 , 1.90908903]))"
1.909080474531503,35,69,0,True,Optimization terminated successfully.,[2.8407715 4.4091053],"(array([[2.8407715 , 4.4091053 ],
       [2.84077143, 4.40911229],
       [2.84077562, 4.40910648]]), array([1.90908047, 1.90908197, 1.90908267]))"
1.9090790985097303,41,81,0,True,Optimization terminated successfully.,[2.84077314 4.40910607],"(array([[2.84077314, 4.40910607],
       [2.84077301, 4.40910458],
       [2.84077275, 4.40910513]]), array([1.9090791 , 1.90907926, 1.90907938]))"
1.9090789561146955,46,90,0,True,Optimization terminated successfully.,[2.84077318 4.40910536],"(array([[2.84077318, 4.40910536],
       [2.84077311, 4.40910575],
       [2.84077314, 4.40910519]]), array([1.90907896, 1.90907899, 1.90907903]))"
1.9090788968123962,52,102,0,True,Optimization terminated successfully.,[2.8407732  4.40910558],"(array([[2.8407732 , 4.40910558],
       [2.84077319, 4.40910564],
       [2.84077317, 4.40910548]]), array([1.9090789 , 1.90907892, 1.90907894]))"
1.9090788961852,58,113,0,True,Optimization terminated successfully.,[2.8407732  4.40910556],"(array([[2.8407732 , 4.40910556],
       [2.8407732 , 4.40910558],
       [2.8407732 , 4.40910557]]), array([1.9090789, 1.9090789, 1.9090789]))"
1.9090788944209582,61,119,0,True,Optimization terminated successfully.,[2.8407732  4.40910558],"(array([[2.8407732 , 4.40910558],
       [2.8407732 , 4.40910557],
       [2.8407732 , 4.40910557]]), array([1.90907889, 1.9090789 , 1.9090789 ]))"
1.9090788925393316,66,128,0,True,Optimization terminated successfully.,[2.8407732  4.40910557],"(array([[2.8407732 , 4.40910557],
       [2.8407732 , 4.40910557],
       [2.8407732 , 4.40910557]]), array([1.90907889, 1.90907889, 1.90907889]))"
