fun,nit,nfev,status,success,message,x,final_simplex
1.2271939859643934,1,3,0,True,Optimization terminated successfully.,[0.02468908 2.88847634],"(array([[0.02468908, 2.88847634],
       [0.02468908, 2.75092985],
       [0.02592354, 2.75092985]]), array([1.22719399, 1.22933552, 1.23091476]))"
1.2271939859643934,1,3,0,True,Optimization terminated successfully.,[0.02468908 2.88847634],"(array([[0.02468908, 2.88847634],
       [0.02468908, 2.75092985],
       [0.02592354, 2.75092985]]), array([1.22719399, 1.22933552, 1.23091476]))"
1.0124108614528708,28,51,0,True,Optimization terminated successfully.,[0.17877608 4.72509854],"(array([[0.17877608, 4.72509854],
       [0.16998287, 4.84451093],
       [0.15159737, 4.78523105]]), array([1.01241086, 1.04024277, 1.04744067]))"
1.011408726449665,32,58,0,True,Optimization terminated successfully.,[0.18898059 4.70720673],"(array([[0.18898059, 4.70720673],
       [0.17877608, 4.72509854],
       [0.18322263, 4.68402388]]), array([1.01140873, 1.01241086, 1.01423665]))"
1.00947322238264,36,66,0,True,Optimization terminated successfully.,[0.18252081 4.71437301],"(array([[0.18252081, 4.71437301],
       [0.18462145, 4.71614964],
       [0.18600811, 4.70721868]]), array([1.00947322, 1.00985519, 1.01037689]))"
1.0091529781937256,39,72,0,True,Optimization terminated successfully.,[0.18325083 4.71278024],"(array([[0.18325083, 4.71278024],
       [0.1831721 , 4.71113494],
       [0.18478962, 4.71124   ]]), array([1.00915298, 1.00931086, 1.00939867]))"
1.0091002763241625,44,81,0,True,Optimization terminated successfully.,[0.1833441  4.71249158],"(array([[0.1833441 , 4.71249158],
       [0.18314795, 4.71220975],
       [0.18372678, 4.71219609]]), array([1.00910028, 1.00911546, 1.00912541]))"
1.0090850728304357,50,93,0,True,Optimization terminated successfully.,[0.18328851 4.71240841],"(array([[0.18328851, 4.71240841],
       [0.18335684, 4.71241743],
       [0.18336958, 4.71234327]]), array([1.00908507, 1.00908681, 1.00909003]))"
1.009082168570232,54,101,0,True,Optimization terminated successfully.,[0.18327899 4.71239234],"(array([[0.18327899, 4.71239234],
       [0.18330518, 4.71239402],
       [0.18329756, 4.71238116]]), array([1.00908217, 1.00908243, 1.00908294]))"
1.009081707772465,58,109,0,True,Optimization terminated successfully.,[0.18328264 4.71238987],"(array([[0.18328264, 4.71238987],
       [0.18328751, 4.71238796],
       [0.18327777, 4.71238762]]), array([1.00908171, 1.00908172, 1.00908181]))"
1.0090815445475956,65,122,0,True,Optimization terminated successfully.,[0.18329041 4.71238907],"(array([[0.18329041, 4.71238907],
       [0.18328909, 4.71238887],
       [0.18328919, 4.71238912]]), array([1.00908154, 1.00908155, 1.00908156]))"
1.0090815299621774,71,133,0,True,Optimization terminated successfully.,[0.18328952 4.71238898],"(array([[0.18328952, 4.71238898],
       [0.18328979, 4.712389  ],
       [0.18328926, 4.712389  ]]), array([1.00908153, 1.00908153, 1.00908153]))"
1.0090815101131148,97,183,0,True,Optimization terminated successfully.,[0.18330935 4.71238898],"(array([[0.18330935, 4.71238898],
       [0.18330938, 4.71238898],
       [0.18330924, 4.71238898]]), array([1.00908151, 1.00908151, 1.00908151]))"
1.0090815101113602,103,195,0,True,Optimization terminated successfully.,[0.18330933 4.71238898],"(array([[0.18330933, 4.71238898],
       [0.18330936, 4.71238898],
       [0.18330935, 4.71238898]]), array([1.00908151, 1.00908151, 1.00908151]))"
1.0090815101111188,113,213,0,True,Optimization terminated successfully.,[0.18330935 4.71238898],"(array([[0.18330935, 4.71238898],
       [0.18330934, 4.71238898],
       [0.18330935, 4.71238898]]), array([1.00908151, 1.00908151, 1.00908151]))"
1.0090815101111172,120,226,0,True,Optimization terminated successfully.,[0.18330935 4.71238898],"(array([[0.18330935, 4.71238898],
       [0.18330935, 4.71238898],
       [0.18330935, 4.71238898]]), array([1.00908151, 1.00908151, 1.00908151]))"
1.0090815101111164,126,239,0,True,Optimization terminated successfully.,[0.18330935 4.71238898],"(array([[0.18330935, 4.71238898],
       [0.18330935, 4.71238898],
       [0.18330935, 4.71238898]]), array([1.00908151, 1.00908151, 1.00908151]))"
1.0090815101111164,130,250,0,True,Optimization terminated successfully.,[0.18330935 4.71238898],"(array([[0.18330935, 4.71238898],
       [0.18330935, 4.71238898],
       [0.18330935, 4.71238898]]), array([1.00908151, 1.00908151, 1.00908151]))"
1.0090815101111161,133,258,0,True,Optimization terminated successfully.,[0.18330935 4.71238898],"(array([[0.18330935, 4.71238898],
       [0.18330935, 4.71238898],
       [0.18330935, 4.71238898]]), array([1.00908151, 1.00908151, 1.00908151]))"
1.0090815101111161,135,264,0,True,Optimization terminated successfully.,[0.18330935 4.71238898],"(array([[0.18330935, 4.71238898],
       [0.18330935, 4.71238898],
       [0.18330935, 4.71238898]]), array([1.00908151, 1.00908151, 1.00908151]))"
1.0090815101111161,138,273,0,True,Optimization terminated successfully.,[0.18330935 4.71238898],"(array([[0.18330935, 4.71238898],
       [0.18330935, 4.71238898],
       [0.18330935, 4.71238898]]), array([1.00908151, 1.00908151, 1.00908151]))"
