Al,Ap,N,x,z,fun,xx,yy,zz,fev
4.841146532824182,0.6607535123189056,17.0,3.975,3.18,0.0583491185588993,0.01038732281014594,0.10585681926553292,0.962837916845028,472
1.5175943021178335,0.4327002026018964,13.0,4.066481366442362,0.9691720279481919,0.07993928879227066,0.01629408187657041,0.02433456454203259,0.9468110665141918,492
1.7162442239019908,0.4714293788167451,13.0,3.9528685005694797,0.9422635625547454,0.07306434518914331,0.03180432172754229,0.03296081307985066,0.9513006464854166,581
2.562150235738151,1.5700492075128851,17.0,4.303882587891343,3.4164556023263972,0.06826797485867114,0.05832987725328738,0.07804984635083632,0.9935818018039475,850
4.3035617862516915,0.7550159359380454,13.0,2.9033712552928588,1.781202026307751,0.05432547340241868,0.032105119975309265,0.02428849729348019,0.9703866528613289,497
2.7172070297053965,0.5664698787916584,13.0,4.240620514379122,1.801942666129137,0.14025551968378225,0.017590111217694264,0.005701742395491035,0.8799812705272103,413
3.3090369837735505,1.5780902390850122,7.0,0.3576737971066889,0.24432062599535945,0.06120318458254527,0.054620045975299424,0.0007986134058076237,0.9930379714376939,439
3.427241905952526,1.4262474512366743,15.0,0.36343936788247777,0.11973186915720394,0.05288017197786005,0.049605698562021114,0.0011383036556715936,0.9954700504144157,476
2.5764049631326444,1.2459958610462816,9.0,1.9435803996897707,0.4798342273263252,0.0504696172077215,0.12670566171580638,0.10097537275531256,0.9951124466249431,494
2.1940833732822447,1.7769316180411847,13.0,3.6832621286865255,0.1974603352575059,0.05902029250200356,0.048541044479591504,0.13768183710038656,0.9919783234906149,549
1.7842626728395619,1.5107906098786221,13.0,2.1533325597385433,1.3286342136067648,0.10958850213195259,0.11000964881623132,0.05653574264477296,0.9742399205628779,686
1.9255475976836232,1.8600307573093267,9.0,2.0974077779972062,0.5186770490168983,0.12811326461000333,0.1647744929466979,0.03462714060037399,0.9711850652909715,574
2.197439947922388,0.6523071605662509,13.0,2.881375662522289,2.3039999999999985,0.05529717117534795,0.019946901062831035,0.057772035145724966,0.9762213592199291,293
3.242089719583715,1.622377990131235,15.0,0.37023367356142095,0.12005216477532912,0.05884571200308381,0.056764486115444955,0.0011094980630056983,0.9943704104486232,477
4.350270201074111,0.3872085276206285,17.0,2.8949999999999996,2.3160000000000003,0.4246880625458241,0.02004351026471922,0.00583915658713445,0.5817915464691634,463
1.3048370352397676,0.3356871899297272,17.0,0.46499999999999997,0.023250000000000003,0.0756282039164076,0.012572717010236453,6.808775608921347e-05,0.9375603576327068,398
2.681513479776569,1.7632415169724975,5.0,4.999072025991937,2.1280920140926063,0.11970354054209909,0.12878591002167628,0.29823361573084234,0.9616958635335752,609
2.4591390349551427,0.5268941778732167,17.0,2.79,1.18575,0.0556529685326449,0.02841877060144605,0.019390856609235646,0.9894235460084353,496
1.7997846908120347,0.4685232033353937,13.0,3.9076852290092687,0.931034787636238,0.11675833708145003,0.010280170219455972,0.03053111069490563,0.9098388559084081,633
4.087181717019262,1.7040310119811177,15.0,0.33796007068704936,0.1110588147336027,0.05908918864793026,0.054187005337362475,0.0011508655062150818,0.9944267929278656,456
3.8431284312160967,1.6530901552570194,15.0,0.3289781313058238,0.23433148346355373,0.06298582492986878,0.053857528404605164,0.0009300385084753532,0.9925941193420901,393
1.7139069785407781,1.3510364920006135,9.0,4.805662747031183,2.953507753646841,0.19531641460145693,0.12668241736745814,0.011052180740150866,0.8935985275996435,603
3.3078941910604107,0.5306585582646713,17.0,1.795,1.0994375,0.15093720575608985,0.010686653159028676,0.006144584387042212,0.9389465021550017,340
1.7133738926798239,0.9728913215519727,9.0,3.0810392402781948,1.2897348066379393,0.10109079858111358,0.030563660245252835,0.1282598159517866,0.9336838037558949,578
2.045966593022465,1.7220603312493148,9.0,2.0676638185895015,0.5128299562294857,0.111170174412913,0.1277184393507157,0.023281297581345915,0.9763642415170253,507
3.0723008353042314,1.6880244608162533,9.0,2.564680198267085,1.0985329571506663,0.05604469385258841,0.04888566502664472,0.04272544264576705,0.975622421075842,545
4.80812626487452,0.8028094034124783,17.0,3.985,1.693625,0.08692825293987394,0.03562925305682011,0.12160623248157831,0.926211932102908,505
2.34521253452749,1.7163825586452337,5.0,4.394072960828104,0.23485439724560658,0.3739462913510721,0.05272651688426386,0.009930260126106745,0.6813133720599014,415
